"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2017-11","2020-12",38,"2021-01",3,6.4,0.15,20,2607.05579617996,96.0687960687961,-59.5138729273375,407,6.30825499543884,100,-5.91381719460103,6,242.914019107819
2,"2017-11","2021-01",39,"2021-02",1,4.2,0,20,2881.2097566175,95.5140186915888,-51.2055819696478,535,50.9542825534398,94.5205479452055,-44.2992674961977,73,261.940412998199
3,"2017-11","2021-02",40,"2021-03",1,4.9,0,20,5489.73646394548,95.8149779735683,-41.1708230959709,454,16.9141858169757,100,-2.97208716695664,12,212.79282283783
4,"2017-11","2021-03",41,"2021-04",4,6.45,0,20,4160.02918438964,96.0216998191682,-61.4602335292008,553,14.1923921436587,100,-15.746338870008,13,255.305557966232
5,"2017-11","2021-04",42,"2021-05",4,7.1,0,16.25,2909.27427400805,94.1544885177453,-46.9355953003113,479,-52.6578280334196,81.4814814814815,-62.9766735397672,27,296.206313848495
6,"2017-11","2021-05",43,"2021-06",1,5.5,0,19.45,2317.72914266212,95.320197044335,-45.743235184878,406,8.52043472671054,100,-4.19052360799935,5,276.281627178192
7,"2017-11","2021-06",44,"2021-07",1,4.45,1.75,17.7,3029.83607933799,89.6887159533074,-60.0042604908413,514,4.21449929320854,100,-2.77913213066796,2,273.284126996994
8,"2017-11","2021-07",45,"2021-08",1,5.4,0.05,19.85,4303.69630370136,96,-40.0717642913545,425,0,0,0,0,277.147828102112
9,"2017-11","2021-08",46,"2021-09",1,4.75,0.3,19.55,8676.23530703635,95.4379562043796,-52.8818428739875,548,-17.3821886158725,75,-21.8036150362806,4,272.311499118805
10,"2017-11","2021-09",47,"2021-10",1,4.8,1.4,19.6,9700.17960249391,92.3076923076923,-51.4280193570987,455,11.5851835571569,100,-2.95010845986985,5,354.8966319561
11,"2017-11","2021-10",48,"2021-11",1,4.45,1.45,19.6,10179.1399410427,92.1414538310412,-47.4303758667526,509,1.72872045027218,75,-10.5512613957875,4,311.132423877716
12,"2017-11","2021-11",49,"2021-12",3,6.75,1.05,20,3228.10467706381,93.4508816120907,-60.0097909992888,397,1.62005907460707,100,-5.60812774122809,1,345.522531986237
13,"2017-11","2021-12",50,"2022-01",1,4.45,0,20,7502.29758646156,95.5453149001536,-50.9076857655953,651,7.786751008787,100,-3.1346381350035,6,278.890186071396
14,"2017-11","2022-01",51,"2022-02",1,4.8,1.4,19.6,12237.0276330732,92.5213675213675,-51.4280193570987,468,0,0,0,0,327.080261945724
15,"2017-11","2022-02",52,"2022-03",1,4.8,1.4,19.6,12237.0276330732,92.5213675213675,-51.4280193570987,468,0,0,0,0,297.338371038437
16,"2017-11","2022-03",53,"2022-04",1,4.8,1.4,19.6,12237.0276330732,92.5213675213675,-51.4280193570987,468,0,0,0,0,304.167104959488
17,"2017-11","2022-04",54,"2022-05",1,4.8,1.4,19.6,12237.0276330732,92.5213675213675,-51.4280193570987,468,-9.6477024961909,85.7142857142857,-24.6827436453389,7,289.335402965546
18,"2017-11","2022-05",55,"2022-06",10,9.05,1.1,20,2409.37968780036,93.6386768447837,-44.1248216844676,393,9.33038503262314,100,-3.50643586329338,6,382.709526062012
19,"2017-11","2022-06",56,"2022-07",9,8.55,0.85,20,2938.29238412617,94.2350332594235,-46.5332235970159,451,0,0,0,0,257.921857118607
20,"2017-11","2022-07",57,"2022-08",10,10.8,0.85,18.45,2553.37803414283,94.8630136986301,-45.3245789604437,292,0,0,0,0,337.09748506546
21,"2017-11","2022-08",58,"2022-09",1,5.55,1,19.15,6933.95257009809,93.4895833333333,-48.4873763491806,384,1.01274215552225,100,-9.53553835327232,1,337.259943008423
22,"2017-11","2022-09",59,"2022-10",1,5.55,1,19.15,7005.18837297491,93.5064935064935,-48.4873763491806,385,0.886034862297838,100,-0.532392432102533,1,335.975096940994
23,"2017-11","2022-10",60,"2022-11",1,5.4,0.05,19.85,4213.45966453963,95.9731543624161,-40.0717642913545,447,-18.5082301767058,83.3333333333333,-25.5585250351378,6,353.119806051254
24,"2017-11","2022-11",61,"2022-12",2,5.05,1.35,17.85,4053.04107467536,91.0596026490066,-56.118794103681,604,2.45257726433536,100,-4.67409948542023,1,310.637795209885
25,"2017-11","2022-12",62,"2023-01",10,10.5,0.95,20,2556.16659502831,94.2675159235669,-39.1827028638246,314,0,0,0,0,357.829200029373
26,"2017-11","2023-01",63,"2023-02",1,5.3,0,20,3860.65781932112,95.3684210526316,-39.4072019153002,475,0,0,0,0,389.320486068726
27,"2017-11","2023-02",64,"2023-03",1,5.35,1.2,19.8,16662.6904515397,93.75,-47.2278807442871,416,2.44680089631638,100,-3.60537528679122,2,365.39529800415
28,"2017-11","2023-03",65,"2023-04",6,6.95,0,20,2539.08642068394,95.7063711911357,-57.858606427091,722,0,0,0,0,346.953430891037
29,"2017-11","2023-04",66,"2023-05",10,10.5,0.95,20,2556.16659502831,94.2675159235669,-39.1827028638246,314,0,0,0,0,343.362500905991
30,"2017-11","2023-05",67,"2023-06",1,4.9,0,20,4886.26466988414,95.5436720142603,-41.2207224002885,561,-20.4601951082232,0,-20.4601951082232,1,344.675946950912
31,"2017-11","2023-06",68,"2023-07",1,4.9,0.35,19.8,8884.27445111496,95.3068592057762,-47.305857380854,554,0,0,0,0,442.678464889526
32,"2017-11","2023-07",69,"2023-08",10,10.5,0.95,20,2612.71669416661,94.3037974683544,-39.1827028638246,316,0,0,0,0,310.786317110062
33,"2017-11","2023-08",70,"2023-09",1,5.25,0.7,20,3754.0676173808,94.0503432494279,-53.8060080163512,437,0,0,0,0,437.979892015457
34,"2017-11","2023-09",71,"2023-10",6,6.95,0,20,2677.98515413395,95.7417582417582,-57.858606427091,728,0,0,0,0,377.074012994766
35,"2017-11","2023-10",72,"2023-11",1,5.25,0.7,20,3938.50606769337,94.279176201373,-53.8060080163512,437,-13.5653689355791,50,-15.7909924385633,2,416.385867834091
36,"2017-11","2023-11",73,"2023-12",1,5.55,0.15,20,3839.11777771846,95.9619952494062,-40.0717642913545,421,0,0,0,0,363.946316003799
37,"2017-11","2023-12",74,"2024-01",1,4.9,0.35,19.8,9229.34607186488,95.3488372093023,-47.305857380854,559,3.04355320234521,100,-3.06767868437697,2,390.72393488884
38,"2017-11","2024-01",75,"2024-02",1,5.55,0.15,20,4660.1415595963,96.2085308056872,-40.0717642913545,422,0,0,0,0,470.752695083618
39,"2017-11","2024-02",76,"2024-03",6,7.3,0.15,18,2859.18087502991,94.9778434268833,-54.850183078691,677,8.30162441667175,100,-1.14702815432744,4,540.848530054092
40,"2017-11","2024-03",77,"2024-04",1,4.75,0.3,19.55,7766.51459425523,95.3871499176277,-52.8818428739875,607,1.20532650941374,100,-6.12228211632542,2,457.404220819473
41,"2017-11","2024-04",78,"2024-05",7,7.85,2.1,19.4,3450.5204746754,90.979381443299,-49.3021014905784,388,0,0,0,0,564.351364850998
42,"2017-11","2024-05",79,"2024-06",1,4.75,0.3,19.55,7861.33178002669,95.4022988505747,-52.8818428739875,609,0,0,0,0,580.816102981567
43,"2017-11","2024-06",80,"2024-07",7,7.85,2.1,19.4,3450.5204746754,90.979381443299,-49.3021014905784,388,2.01936225170701,100,-5.14051313883716,1,560.833463907242
44,"2017-11","2024-07",81,"2024-08",7,7.85,2.1,19.4,3522.21834488012,91.0025706940874,-49.3021014905784,389,3.88883627857771,100,-10.0696966366234,1,563.757854938507
45,"2017-11","2024-08",82,"2024-09",1,4.8,1.4,19.6,12986.2093258853,92.5196850393701,-51.4280193570987,508,0,0,0,0,568.55095911026
46,"2017-11","2024-09",83,"2024-10",1,4.75,0.3,19.55,7912.06560858475,95.417348608838,-52.8818428739875,611,0,0,0,0,604.502852916718
47,"2017-11","2024-10",84,"2024-11",1,5.4,0.05,19.85,3738.72839233177,95.9227467811159,-42.934061029824,466,0.493205501405701,100,-9.39630543178444,1,632.985241174698
48,"2017-11","2024-11",85,"2024-12",1,5.4,0.05,19.85,3757.66121194677,95.93147751606,-42.934061029824,467,0.550973593043909,100,-1.00441253893739,1,558.985415935516
49,"2017-11","2024-12",86,"2025-01",1,4.8,1.4,19.6,13453.9821136655,92.5490196078431,-51.4280193570987,510,0,0,0,0,617.452087879181
50,"2017-11","2025-01",87,"2025-02",1,5.35,1.2,19.8,16623.7765520136,93.7354988399072,-47.2278807442871,431,2.27515214786941,100,-2.53279750218151,1,597.512002944946
51,"2017-11","2025-02",88,"2025-03",10,9.95,1,20,2459.89876829171,94.2528735632184,-39.4420255860855,348,0,0,0,0,624.81707906723
52,"2017-11","2025-03",89,"2025-04",1,4.75,0.3,19.55,8069.35674279542,95.4471544715447,-52.8818428739875,615,0,0,0,0,662.981716871262
53,"2017-11","2025-04",90,"2025-05",1,5.4,0.05,19.85,3793.45108898025,95.9574468085106,-42.934061029824,470,0,0,0,0,568.288775920868
54,"2017-11","2025-05",91,"2025-06",1,4.9,0,20,4376.85562796189,95.5094991364421,-51.6888176524908,579,0,0,0,0,603.64083480835
55,"2017-11","2025-06",92,"2025-07",1,5.4,0.05,19.85,3793.45108898025,95.9574468085106,-42.934061029824,470,0,0,0,0,461.646315097809
56,"2017-11","2025-07",93,"2025-08",2,5.15,0.9,20,15977.0902535187,94.3910256410256,-59.4573887925731,624,0,0,0,0,506.783955097198
57,"2017-11","2025-08",94,"2025-09",10,9.65,0.95,20,2390.64415964354,94.1644562334218,-39.8847781569317,377,0,0,0,0,512.043848991394
58,"2017-11","2025-09",95,"2025-10",2,5.15,0.9,20,15977.0902535187,94.3910256410256,-59.4573887925731,624,22.2744986922432,100,-3.50028939049909,5,418.206465959549
