dataset,symbol,timeframe,signalMode,atrLength,train_months,test_months,windows,phase1,phase2,cumulative_return_pct,max_drawdown_pct,avg_monthly_return_pct,sd_monthly_return_pct,sharpe_ratio,pos_months,neg_months,zero_months,lookback_mean,lookback_sd,dropATR_mean,dropATR_sd,TP_mean,TP_sd,SL_mean,SL_sd
DOGEUSDT_15m,DOGEUSDT,15m,atr,14,12,1,12,200,200,-41.8362253489114,-71.0376241836608,-0.178232273580562,34.8921757438721,-0.017694932850054,6,6,0,9.41666666666667,6.30235646164964,4.175,1.39764412169518,1.24583333333333,1.38669953705214,18.775,5.54303412155539
DOGEUSDT_1h,DOGEUSDT,1h,atr,14,12,1,12,200,200,-55.4329276799027,-55.4329276799027,-5.59827936932491,12.8040140677211,-1.51460381898209,5,6,1,9.16666666666667,4.83985975253854,4.18333333333333,1.28952657509599,1.0125,1.16152818617231,20.0666666666667,4.46141708700749
DOGEUSDT_30m,DOGEUSDT,30m,atr,14,12,1,12,200,200,-62.2641759490346,-72.3902961757747,-5.79555385945321,20.1443254290642,-0.99662744011192,5,6,1,14.75,4.93825512062344,4.9375,1.86634365441192,0.7375,1.14278865460369,21.6166666666667,3.27950476675237
DOGEUSDT_5m,DOGEUSDT,5m,atr,14,12,1,9,150,150,-65.174998270804,-38.7040140976654,-8.95523695935128,18.5759057136457,-1.67000475201818,6,3,0,12.2222222222222,4.26549463068991,7.15,1.73745503538941,0.394444444444444,0.522879314735033,14.8777777777778,5.77468132838899
PEPEUSDT_1h,PEPEUSDT,1h,atr,14,12,1,12,200,200,-13.4624199780982,-61.0343597746446,3.27240846540728,39.0286351635944,0.290452264161723,4,7,1,14.25,4.69283786985309,3.74583333333333,1.7729608431985,1.3125,1.1619194542574,16.9041666666667,4.23215281201452
PEPEUSDT_5m,PEPEUSDT,5m,atr,14,12,1,9,150,150,-18.2428058974909,-6.70706508592693,0.851965299204639,24.4233210104762,0.120839191678731,6,3,0,10.8888888888889,4.22624077770199,5.43888888888889,1.52064496550349,0.583333333333333,0.660965203320114,15.8388888888889,7.37596509692875
PEPEUSDT_15m,PEPEUSDT,15m,atr,14,12,1,12,200,200,-76.6027665855317,-85.6897306666838,-7.56827569123873,28.0751045412047,-0.933826479874717,5,7,0,14.5833333333333,4.56186431852221,4.21666666666667,1.05536149199593,1.9,0.773128238216192,16.625,5.73012374925867
PEPEUSDT_30m,PEPEUSDT,30m,atr,14,12,1,12,200,200,-78.9392660771045,-81.6434834331731,-9.95285742451703,21.3216503340975,-1.61702818211818,4,8,0,13.1666666666667,5.20198097464861,4.07083333333333,1.55993273942025,1.225,1.1651180197731,17.6041666666667,6.0311109459555
XRPUSDT_30m,XRPUSDT,30m,atr,14,12,1,12,200,200,21.02502209125,-44.4786073246214,3.10927540240592,18.5470869916045,0.580729790519553,7,5,0,11.5833333333333,4.64089202501834,3.46666666666667,1.25468817809144,1.3875,1.41792502045643,18.0375,3.94387470988528
XRPUSDT_1h,XRPUSDT,1h,atr,14,12,1,12,200,200,-12.8357787976652,-39.3565834540977,-0.60158314024036,10.6266839287414,-0.196104931860253,6,6,0,13.0833333333333,4.10007390916384,2.84166666666667,1.10470755762726,1.07083333333333,0.879426035272525,15.9333333333333,5.2522001161995
XRPUSDT_15m,XRPUSDT,15m,atr,14,12,1,12,200,200,-25.5385624691521,-52.2538481116869,-1.04534392882109,16.6472750950418,-0.21752374316696,5,6,1,12.9166666666667,5.85364429352788,4.10416666666667,1.92736965522413,1.47083333333333,1.13266747373649,17.725,4.70756161549017
XRPUSDT_5m,XRPUSDT,5m,atr,14,12,1,9,150,150,-26.8824350164198,-17.45386855582,-2.09231844485779,16.8283262403547,-0.430702590423611,4,5,0,11.7777777777778,4.89330608530107,3.28333333333333,1.25399362039845,2.33333333333333,0.951314879522022,20.9666666666667,1.97642353760524
