"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2019-02","2022-12",47,"2023-01",6,9.5,0.4,18.95,2888.5384742297,95.609756097561,-64.3430434581571,410,11.9448989354529,100,-12.3218209135909,7,341.153439998627
2,"2019-02","2023-01",48,"2023-02",8,6.85,0.95,12.9,17405.5999692607,90.8672294704528,-66.0885543399373,1303,4.12682094450834,90,-31.9966344210564,30,255.838653087616
3,"2019-02","2023-02",49,"2023-03",4,9.1,3.45,2.8,2565.96091794404,57.7114427860697,-48.3563414266646,402,4.7106388945787,60,-6.07376971712539,5,308.669363021851
4,"2019-02","2023-03",50,"2023-04",4,9.1,3.45,2.8,2746.95693391881,57.7395577395577,-48.3563414266646,407,1.79019117507643,50,-5.25577505423047,2,282.958369970322
5,"2019-02","2023-04",51,"2023-05",6,9.3,2.95,3,2835.10796520956,60.5166051660517,-58.700288377178,542,3.19832160928145,100,-0.914876690533037,1,283.811465024948
6,"2019-02","2023-05",52,"2023-06",5,9.15,2.8,2.75,3156.68284313158,60.7287449392713,-49.3773469432885,494,1.90278029630328,75,-4.6407578070087,4,309.33641409874
7,"2019-02","2023-06",53,"2023-07",6,9.55,0.8,3.4,3017.96507334109,77.0870337477798,-50.3156773938944,563,0,0,0,0,285.118319988251
8,"2019-02","2023-07",54,"2023-08",6,9.3,2.95,3,3236.30838688804,60.8058608058608,-58.700288377178,546,10.2861770638941,66.6666666666667,-5.90021541300635,3,301.078789949417
9,"2019-02","2023-08",55,"2023-09",9,9.85,2.9,3.1,2762.37699146907,60.4538087520259,-52.8253105827047,617,0,0,0,0,340.195974111557
10,"2019-02","2023-09",56,"2023-10",7,10.55,14.9,0,4198.44000240109,15.625,-50.2553229519044,416,0,0,0,0,339.50523686409
11,"2019-02","2023-10",57,"2023-11",7,9.6,1.7,3.1,2828.47484477823,69.2699490662139,-53.7769162955759,589,7.59871260905817,100,-0.991462407050393,3,338.547569036484
12,"2019-02","2023-11",58,"2023-12",4,9.25,3.35,2.85,2634.78676084651,59.0909090909091,-51.2935979074243,396,12.6223098029483,100,-1.4933731566175,3,344.026535987854
