"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2019-02","2022-12",47,"2023-01",10,14.75,17.6,5.2,5347.5830393564,36.1344537815126,-59.5303353880935,238,64.6826074057232,75,-11.7611580217129,4,253.124560117722
2,"2019-02","2023-01",48,"2023-02",7,9.3,0.1,19.95,5836.54796507626,95.0837988826816,-72.8869943637296,895,10.8531321310409,95.2380952380952,-30.922306099959,21,184.097234964371
3,"2019-02","2023-02",49,"2023-03",7,7,1.75,20,3598.59061204731,89.7701149425287,-85.3344070492808,870,-11.2930671937347,88.2352941176471,-31.6799191390278,17,184.3959171772
4,"2019-02","2023-03",50,"2023-04",2,9.4,0.2,19.25,2780.47300349386,94.1888619854721,-69.6773615870616,413,4.86146103503466,100,-0.688828990715777,3,161.771594047546
5,"2019-02","2023-04",51,"2023-05",3,9.3,0,20,3385.50755708502,94.3686006825939,-67.8972281671844,586,0.620924790081444,100,-0.355014011208979,2,199.868941068649
6,"2019-02","2023-05",52,"2023-06",1,6.2,0.45,20,2900.0541113833,93.2655654383736,-74.5357094268414,787,7.86905337741777,100,-1.96037735849055,8,172.650438070297
7,"2019-02","2023-06",53,"2023-07",3,9.3,0,20,3458.41935502669,94.4256756756757,-67.8972281671844,592,0.886562024221457,100,-0.507201557093413,1,157.330539941788
8,"2019-02","2023-07",54,"2023-08",1,6.25,0.5,20,3568.84933269175,93.2311621966794,-74.5357094268414,783,9.12440707893123,100,-0.370762711864405,4,178.718399047852
9,"2019-02","2023-08",55,"2023-09",1,6.25,0.5,20,3903.6100809192,93.2655654383736,-74.5357094268414,787,2.20282801555992,100,-0.0750000000000005,2,167.792830944061
10,"2019-02","2023-09",56,"2023-10",3,9.45,0,20,2565.52115128952,94.5518453427065,-73.706942862814,569,3.16850655801964,50,-0.0750000000000072,2,193.902587890625
11,"2019-02","2023-10",57,"2023-11",6,9.65,1.05,20,3917.3073859968,92.7191679049034,-65.4593838029183,673,16.3292968268433,100,-4.7854233409611,7,177.325724124908
12,"2019-02","2023-11",58,"2023-12",7,9.55,0,15.55,3175.43135256925,92.2480620155039,-78.381577264947,1032,7.22055855826549,100,-1.88623199168276,6,163.756555080414
13,"2019-02","2023-12",59,"2024-01",7,9.3,0.1,19.95,11084.2432401579,95.3013278855976,-72.8869943637296,979,7.65151605804542,100,-6.65909124410376,6,220.919687986374
14,"2019-02","2024-01",60,"2024-02",5,9.85,1.8,19.45,2597.81646771946,90.6488549618321,-72.0432571471472,524,15.2972926817271,100,-10.8269408880414,5,230.054176092148
15,"2019-02","2024-02",61,"2024-03",3,9.3,0,18,5247.81664976834,93.7898089171974,-69.9349862643367,628,46.2636669081545,100,-8.62043471832028,19,222.827802181244
16,"2019-02","2024-03",62,"2024-04",3,9.3,0,20,7991.24606166836,94.8031496062992,-67.8972281671844,635,-7.69505352838812,83.3333333333333,-27.0592954510673,6,238.810002088547
17,"2019-02","2024-04",63,"2024-05",6,9.65,1.05,20,7323.59123414422,93.006993006993,-65.4593838029183,715,1.37622862724234,100,-0.642028189639386,1,236.921920061111
