"dataset","lookback","minDrop","TP","SL","score","return_pct","win_rate","max_dd","trades","time_seconds"
"BNBUSDT_15m",10,10.7,0.4,12.7,0.899904084003412,8795.41085073575,95.8083832335329,-28.3956084197908,334,280.932816028595
"BNBUSDT_1h",3,11.4,0,12.9,0.862499096806034,4623.71097987473,92.9245283018868,-33.2295981798672,212,157.111833810806
"BNBUSDT_30m",1,5.7,0.2,19.6,0.870168624400152,3148.57568342436,95.5334987593052,-41.043874579602,403,238.508949995041
"BNBUSDT_5m",9,6.9,0.4,13.6,0.884861468395001,9341.12496468246,95.3074433656958,-36.0332322178474,618,752.798692941666
"BOMEUSDT_15m",1,14.4,1.8,13.4,0.461212459470719,91.1496854681273,100,-6.44553984575836,8,57.8174431324005
"BOMEUSDT_1h",1,17.5,1.2,18.5,0.427311992348702,78.9899657298379,100,-17.8297751448153,11,31.4151711463928
"BOMEUSDT_30m",4,17.5,1,7.3,0.467731187041906,243.907605957508,92.8571428571429,-13.9718031422684,28,30.8930039405823
"BOMEUSDT_5m",1,20,8.5,8,0.469947514951878,117.082596511507,100,-4.10256410256411,5,89.2469041347504
"BTCUSDT_15m",10,8.8,3.2,18.9,0.847525000933299,4698.01143824652,96.8503937007874,-34.6992426552683,127,314.250372886658
"BTCUSDT_1h",1,5.7,9.3,16.4,0.792692847596617,9237.02067507463,77.8625954198473,-43.7762204148175,131,99.3107860088348
"BTCUSDT_30m",10,10.5,1.2,18.8,0.89231071353126,2761.90725674474,99.2248062015504,-21.1051930763559,129,154.365005970001
"BTCUSDT_5m",10,4.4,1.3,20,0.837064344328479,3521.91289950479,96.218487394958,-52.4211289213192,476,810.802224159241
"DOGEUSDT_15m",10,9.5,0.3,18.3,0.817366012559566,2475.17280823689,92.7031509121061,-55.7399397637443,603,239.800146818161
"DOGEUSDT_1h",9,9.9,0.8,10.2,0.800029078631414,2550.15279681036,85.4632587859425,-59.3886031825,626,71.38121509552
"DOGEUSDT_30m",8,9.4,0,5.7,0.814117687939631,8547.29941313054,83.4710743801653,-53.6963078768724,847,104.96279501915
"DOGEUSDT_5m",5,9.2,0,12.7,0.815062881412549,2850.87866294225,90.5286343612335,-56.9100233764339,454,550.31764292717
"ETHUSDT_15m",10,8.4,0.7,20,0.887899218239583,2729.65559170527,96.8668407310705,-35.0843239369758,383,191.532123088837
"ETHUSDT_1h",3,10.7,6.7,9,0.801700980124494,3309.10729371149,72.1428571428571,-38.5580344735961,140,62.6160700321198
"ETHUSDT_30m",2,6.2,0,7.4,0.903649159123848,2991.86837840187,90.9677419354839,-27.6008179264592,465,101.414804935455
"ETHUSDT_5m",1,2.8,0,16,0.866290119358928,2842.18732175002,96.67616334283,-42.9080418851056,1053,522.019788980484
"PEPEUSDT_15m",8,7,1.4,12.8,0.845167512061734,2593.50861971855,90,-46.6108293127554,470,68.3728849887848
"PEPEUSDT_1h",5,10.4,7.6,6.1,0.765253043084696,2859.32907658932,55.3921568627451,-46.4164921649499,204,39.4068729877472
"PEPEUSDT_30m",7,7.4,3.8,9.8,0.777578288417544,3566.34815233854,76.2886597938144,-61.7810930970463,388,44.7554829120636
"PEPEUSDT_5m",9,4.3,0.4,15.9,0.826858237547893,3014.01049602241,96.2962962962963,-55.8620689655172,1215,162.119478940964
"SOLUSDT_15m",2,8.4,0.8,19.4,0.880930874101982,4430.86879213992,98.2456140350877,-27.2736770345864,171,205.796057939529
"SOLUSDT_1h",5,9.8,0,15.8,0.821491304742084,3621.96120128706,94.3069306930693,-56.6563637658399,404,115.821938991547
"SOLUSDT_30m",5,10.2,0,19,0.836595270066681,2736.14664104567,96.1685823754789,-46.145025201185,261,132.784116983414
"SOLUSDT_5m",10,8.7,0.3,14.4,0.900745802836174,2768.12708262044,96.9135802469136,-28.2081891780654,324,495.923896789551
