"lookback","minDrop","TP","SL","score","return_pct","win_rate","max_dd","trades"
1,7.6,16.4,4.2,0.159278942624035,-50.9609754358572,25.531914893617,-72.7742509040331,94
5,8.3,5.5,15.6,0.268810248453232,20.7349476095001,75,-69.9573407001541,156
1,5.5,15.5,1.4,0.208849898371916,17.5397359769993,16.4233576642336,-67.2356724621762,274
9,19.8,6.3,1.3,0.43744347316404,274.944043972231,69.2307692307692,-13.7959020550265,26
10,18.5,18.9,2.2,0.253996125252062,104.216356129258,35.7142857142857,-48.2639201777596,28
4,5.4,3,14,0.260815503590309,-35.1036105444182,80.1007556675063,-84.213758079604,397
2,7.3,12.2,18.4,0.220043067648462,50.1577406563161,64.9484536082474,-78.550765030342,97
10,10.9,16.1,3.6,0.216714798296701,39.8883080324786,27.34375,-62.6830882146898,128
1,7,1.6,9.5,0.413750045440089,367.103069461529,84.9056603773585,-47.5781995645387,159
8,7.4,17.5,9.1,0.161817266514852,-66.6595526569809,37.3626373626374,-83.2272192890025,182
7,4.7,7.7,5,0.178060374436661,-63.532505865188,42.4715909090909,-91.4037202904139,704
4,3.6,11.3,12,0.214165568677048,62.9968390538098,55.7093425605536,-88.5792920644896,289
9,10.8,3.8,13.2,0.299953894287764,12.4335097583607,78.2258064516129,-58.4334969248201,124
5,14.6,17.5,18.4,0.303280309612774,171.187587878986,67.8571428571429,-51.9255612006011,28
4,13.9,13.7,0.4,0.235042413560541,104.676566322515,28.8888888888889,-53.5579071244471,45
10,6,12.7,10.1,0.194122514161196,-30.9062479247896,47.9087452471483,-84.4212842613995,263
2,1.2,2.6,13.6,0.234313720051119,-81.0636044953116,81.40589569161,-91.0678915590467,882
3,16,7.9,18,0.360881390365341,231.977290053352,90.9090909090909,-46.8967456690051,22
9,9,14.7,6.2,0.146062009642486,-75.3129735502334,32.7485380116959,-84.9626487630421,171
9,6.8,2.1,15.3,0.429423992813358,674.978318685795,88.0095923261391,-74.6954976797646,417
4,18.7,8.7,19.5,0.401378428101422,207.07838310637,92.8571428571429,-31.2965606924361,14
5,8.9,17.9,3.6,0.180863420236174,-6.98387830468591,23.5294117647059,-71.6733945667687,153
5,6.6,9.6,11.8,0.217321280459199,-7.43390429637324,58.411214953271,-80.7003777963332,214
4,4.2,3.2,6.2,0.215529565727965,-60.2006203285232,65.5579399141631,-90.6570774947152,932
2,3.8,18.1,18.1,0.201311265960395,129.2996035189,56.4285714285714,-88.5887725489533,140
8,7.4,15,0,0.387274075028234,647.652045883317,9.88274706867672,-48.042471277926,597
3,14.5,6.9,16.9,0.369396503723047,280.847052681115,87.5,-46.8967456690051,32
10,12.9,9,4.9,0.260429356199476,80.8825559274542,47.6190476190476,-57.127944081865,84
1,14.5,7.3,18.2,0.434500052374763,214.854995891411,89.4736842105263,-20.0596226397281,19
10,0.5,7.8,12.3,0.225400695516001,-63.6419740738002,62.1026894865526,-85.4325944601814,409
8,1.6,1,4.1,0.194370355252313,-99.7990326855059,74.6221662468514,-99.866356078191,4764
6,3.2,3.8,9.5,0.210307094275609,-77.166231819505,69.7788697788698,-93.4904295550616,814
10,19.2,9.1,9.7,0.41757956664946,283.884065595543,79.1666666666667,-25.5881541951896,24
8,12.2,3,3.9,0.298644223789579,37.9217421645135,64.3478260869565,-52.7741518014288,115
4,11.5,2,12.1,0.33478466998723,35.2136914365688,84.6153846153846,-47.5452252420228,78
4,2.7,7.6,5,0.160446639021089,-91.6561011714056,41.7305585980285,-95.2170335550335,913
6,19.1,12.9,15.5,0.364169337634126,194.926308411238,76.4705882352941,-35.4129361203086,17
2,16.7,6.4,11.3,0.332947286889624,106.061039598389,88.8888888888889,-46.8967456690051,18
5,2.9,0.5,12.9,0.269578895621217,-28.1900949044254,92.423428264374,-87.994009897516,1861
4,3.1,13.9,10.6,0.18081453253369,-25.8251756039969,47.037037037037,-89.0836250129735,270
2,10.9,10.2,6.2,0.270225377104496,11.851122258065,48.1481481481481,-46.9574644219751,54
8,3.9,16,0.3,0.107403296984295,-92.6407755379469,7.58620689655172,-95.7668912545675,1740
2,8.2,16.6,10.3,0.233179681371258,64.5212554125358,46.5909090909091,-65.0748886125322,88
3,8.2,9.4,3.6,0.274833261859715,129.261676769072,38.4180790960452,-57.5272106936788,177
8,19.5,4.1,3.5,0.477986490275942,273.028816715343,88,-9.38623224427312,25
7,7.9,19.7,9.4,0.18443157753721,-27.5927228100587,38.0597014925373,-75.1901563699121,134
1,4.4,19.4,12.7,0.154195886635671,-30.9201361705288,45.4545454545455,-88.6219778336108,132
5,8,5.2,16.2,0.311780003982669,164.762277181461,77.8443113772455,-66.4193042974874,167
10,15.7,10.9,13.1,0.290401943039685,71.4235663104307,66.6666666666667,-50.818099632064,36
2,13.2,3.8,0.4,0.265080818326978,33.4693245021448,50,-49.1888122283638,40
6,2.7,18.2,3.7,0.139841016391098,-82.6975641594829,21.2880143112701,-92.4018145090336,559
6,14.3,11.6,9.4,0.243023610128087,73.471714893389,57.1428571428571,-62.7730959196826,42
2,12.4,0.6,9.6,0.293693296403757,2.98906034978692,85.1063829787234,-56.2608606430985,47
4,0.7,16.8,2,0.117183443799165,-93.0464822482594,14.8227712137487,-96.1007820722572,931
3,17.7,0.9,19.3,0.328517867822079,35.1568595935084,94.4444444444444,-46.8967456690051,18
6,16.6,3.9,15.7,0.335513493545682,92.6081072513111,87.5,-46.8967456690051,32
5,19.7,18.3,19.6,0.388826257868448,267.530183182416,83.3333333333333,-33.8832277266919,12
2,18.2,14.5,6.5,0.360993428001561,123.48164568868,61.5384615384615,-23.856238969138,13
7,4.4,2.7,6.2,0.204114193154725,-80.0563319804992,67.948717948718,-94.466248003954,1092
6,4.5,13.2,6.9,0.192566703296975,2.18669017444245,39.3229166666667,-88.2636218819172,384
10,7.9,17.9,0.9,0.142508515438131,-61.8445629402236,11.441647597254,-87.84064487617,437
10,0.6,4.7,4,0.153130259617156,-99.3418275554963,46.5856481481481,-99.6222278816922,1728
8,15.3,3.5,11.8,0.285513977984505,0.0150464858942723,75,-53.38499276217,44
5,1,16.6,1.2,0.0988278571547566,-99.3153838943748,10.3594080338266,-99.6114952649986,1419
1,0.3,18.2,13,0.176548501106869,-6.62492120874222,47.5138121546961,-86.93261718099,181
1,0.6,5.3,2,0.129027237926519,-99.6516177979272,30.8801213960546,-99.7852176546453,2636
7,1.4,6.8,8.9,0.20353132178686,-70.083325674105,57.4433656957929,-90.0062427118302,618
4,12.4,8.8,6.5,0.260016922550169,11.4163009433863,51.7241379310345,-52.5676946818372,58
10,10.9,1.9,10.4,0.349579726422696,150.301116310131,85.4430379746835,-56.1626856416784,158
9,14.7,12.5,14.1,0.255796073041508,60.5750237651085,63.1578947368421,-60.2221144521064,38
4,4.8,3.6,3.3,0.189246668166336,-74.0452970199304,49.4117647058824,-90.5142751429665,935
9,18.6,19.5,12.8,0.370702904017723,317.750355403728,66.6666666666667,-36.4683461432425,21
3,15.6,0.5,13.3,0.313410745699394,26.5161963409612,92.8571428571429,-52.3684656794464,28
5,12.5,1.6,19.2,0.340823959557382,127.425482725498,93.0555555555556,-54.7074558459111,72
8,16.1,10.5,18.4,0.325170642333082,204.775343574492,80,-53.025015795195,30
5,16.4,2.6,12.1,0.328348585443467,91.3351813755071,90,-50.1592916931274,30
6,20,7.6,8.9,0.492075595263858,295.351963499665,100,-10.1508916323731,15
2,5.8,1.2,6.2,0.391098408536284,173.737785453461,79.0361445783133,-52.9095365709363,415
2,3.4,3.8,3.6,0.173994864150753,-89.6989496553603,49.6025437201908,-94.7543801638561,1258
8,3.2,3.3,14.1,0.21343058891127,-89.3710831528009,78.2742681047766,-95.9646727594636,649
1,3.3,13.2,3.8,0.136367681572318,-91.8293187467585,25.9398496240602,-95.3376051631185,532
2,12.1,9.1,7.4,0.282304397969916,42.28227511294,56.8181818181818,-47.8999773937466,44
5,6.5,1.4,2.7,0.36377977872556,116.53683648409,66.1042944785276,-52.1177645197893,652
8,12.6,3.9,18.2,0.269436555527535,-15.465367898421,80.3030303030303,-62.9514719094913,66
7,6.7,7.9,1.3,0.221584598648882,81.8892200654088,25.1582278481013,-76.9642675783477,632
8,0.4,4.5,10.6,0.219952433140003,-64.6996791526733,69.1983122362869,-90.7330309889822,711
5,16.7,19.5,15.5,0.22245282663457,8.44444792359171,52.3809523809524,-60.1838270126282,21
4,16.5,18.4,19.8,0.390364089057598,492.742479386755,80,-46.8967456690052,20
9,2.4,15.8,15.1,0.171913411378116,-33.8634570992018,53.2608695652174,-89.9019235077023,184
4,5.4,7.6,0.2,0.182160279715162,-27.4132661366413,16.544502617801,-79.2406954356482,955
7,8.2,14.6,6.7,0.203332671652415,17.6711425302704,37.0967741935484,-74.5614012594286,186
10,9.1,11.2,2,0.274175241104357,119.078230067824,26.3513513513513,-57.6030400017681,296
2,13.6,12.8,11.9,0.316808692749769,175.100931351396,66.6666666666667,-46.8967456690051,27
5,3.1,13,15.4,0.202244865556185,14.3170040584393,58.2568807339449,-87.1805438588062,218
6,17.4,4.9,18,0.343955293051522,140.73019228706,88.8888888888889,-46.8967456690051,27
3,14.8,1.1,14.6,0.312024598571139,32.6934490007662,90.3225806451613,-52.3943050102969,31
6,6,1.4,6.2,0.326628206483534,139.918129956377,79.2957746478873,-72.5002396268148,710
1,7.1,0,9.9,0.489336198673156,575.969002312141,78.2608695652174,-31.7241379310345,161
9,6.9,5.6,13.5,0.410022267163572,670.151768946638,74.0484429065744,-68.8925718688948,289
9,1.6,15.4,0.3,0.0917814291927185,-99.853927027834,6.32551528073916,-99.9110456211267,2814
5,17.8,10.3,7.3,0.319289096318427,139.614502730484,73.9130434782609,-46.8967456690051,23
9,12.3,0.9,3.9,0.352814537809683,88.5109066986244,79.4871794871795,-48.2660582036074,156
10,2.7,10.1,4.2,0.150641990920964,-90.5985002571533,32.7645051194539,-94.0656789039765,879
8,1,14.5,17.1,0.204443866818638,37.9118719656713,59,-87.1969827512793,200
7,0.5,5.4,8.9,0.212271977014978,-66.9415323665998,62.5647668393782,-89.8418991393671,772
6,8.5,11.7,16.8,0.19421719094886,-19.7380493378632,62.0967741935484,-83.6842550296491,124
1,12.6,2.5,9.8,0.281508610515946,8.97305562450985,78.5714285714286,-54.8070651547515,28
5,10.2,10.5,5.9,0.252165133951461,-0.119076191381228,42.9906542056075,-54.6732719354815,107
9,1.9,2,7.9,0.219054135689902,-89.8006742427282,76.6105629715612,-93.2325291345828,1723
7,19.9,8.9,6.7,0.411580142764018,248.152106435551,80,-25.1493053897931,20
10,7.8,0.7,9.6,0.521674776529922,803.521380575216,89.9253731343284,-52.6157105583699,536
10,13.9,18.4,1.2,0.194888091415134,-1.83602016656989,16.6666666666667,-58.5357273014808,84
10,3.1,4,10,0.206503232453948,-83.1566897825537,70.0876095118899,-94.5533258843423,799
8,2,7.9,9.2,0.196787303513159,-67.596356822911,55.1257253384913,-91.2446467554847,517
1,8.1,5.4,15.7,0.277407195556172,68.1018626031565,76.1904761904762,-64.9875369825564,84
9,12.9,13.2,13.1,0.241680343081177,75.3622955071972,58.4905660377358,-65.3404228710417,53
9,4.3,5,19.2,0.226431777095595,-71.0807944268638,78.1976744186046,-90.268792163478,344
3,9.2,9.3,14.5,0.214162845512561,-20.4279098232958,61.9047619047619,-73.6143435086491,84
1,17.5,16.5,7.4,0.349761309530482,93.4128631993046,63.6363636363636,-26.3635584172384,11
6,11.7,14.4,19.5,0.266260731901602,145.8232609641,67.3076923076923,-65.6681687627047,52
8,5.8,12.9,9.4,0.186459247791778,-28.1722410477682,45.6204379562044,-86.5550441800548,274
5,1.1,7.2,18.4,0.231906156351695,-23.13937633034,73.0496453900709,-85.8225007042277,282
1,19.4,3.1,14.6,0.457973753737807,73.1447211892411,100,-6.14035087719297,7
6,19.1,5,16,0.505900404343998,389.072113414851,100,-12.3484848484849,21
