"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2020-08","2023-01",30,"2023-02",2,6.85,0,12.95,3377.24370416289,92.2330097087379,-52.5845013245934,515,2.14617167420403,100,-0.075,2,256.5234811306
2,"2020-08","2023-02",31,"2023-03",1,5.45,3.6,10.7,4853.0330437909,76.2863534675615,-62.3355030989924,447,0.893585882681982,75,-19.0574608935183,8,263.217271089554
3,"2020-08","2023-03",32,"2023-04",3,6.25,0,12.95,4578.45201969146,92.1151439299124,-60.7336946349817,799,3.93768686862306,100,-1.39470013947001,4,243.9627430439
4,"2020-08","2023-04",33,"2023-05",1,5.45,3.6,10.7,5277.79551914598,76.3676148796499,-62.3355030989924,457,-1.40168023143682,0,-11.4685314685315,1,259.417229890823
5,"2020-08","2023-05",34,"2023-06",1,6.15,3.65,7.9,6578.56343723051,72.3192019950125,-61.9086250615292,401,7.26483901400645,80,-14.5300935227284,5,190.057895898819
6,"2020-08","2023-06",35,"2023-07",2,7,0,13.45,2442.48769775163,91.2778904665314,-55.1593413275038,493,6.84720557836556,83.3333333333333,-3.4013605442177,6,165.47178196907
7,"2020-08","2023-07",36,"2023-08",1,5.35,3.45,6,4017.53013050071,66.0743134087238,-60.7912284507116,619,-3.47635789532569,50,-7.0263043478261,2,187.684466123581
8,"2020-08","2023-08",37,"2023-09",3,6.65,0,12.8,2652.05023946905,91.6666666666667,-62.7665011140692,732,-0.0956183657508154,100,-0.0956183657508154,1,176.818712949753
9,"2020-08","2023-09",38,"2023-10",2,6.85,0,20,2914.31598127381,94.7826086956522,-60.9703564813556,460,2.80603565451111,100,-6.98126349892007,3,186.300437927246
10,"2020-08","2023-10",39,"2023-11",3,6.25,0,12.95,4690.5428929725,91.7365269461078,-60.7336946349817,835,-15.0809797970353,86.6666666666667,-25.0424280673981,15,215.259169101715
11,"2020-08","2023-11",40,"2023-12",1,5.15,2.4,13.2,11625.5284552057,84.4642857142857,-56.3062868588286,560,9.32934014198563,85.7142857142857,-14.620364320569,7,230.733626842499
12,"2020-08","2023-12",41,"2024-01",1,5.15,2.4,13.2,12719.4428882371,84.4797178130512,-56.3062868588286,567,-11.7945113550984,75,-17.7153394379028,8,242.037137985229
13,"2020-08","2024-01",42,"2024-02",2,6.2,0,13.05,3509.6195242868,91.9220055710306,-64.5003560946592,718,1.60710500225019,100,-2.97680736025115,2,347.605799198151
14,"2020-08","2024-02",43,"2024-03",1,5.55,2.85,14.45,4673.95834925582,83.4042553191489,-64.076593708576,470,3.5619866935075,85.7142857142857,-17.1821165464359,7,348.401288986206
15,"2020-08","2024-03",44,"2024-04",1,5.55,3.05,12.85,13142.024888104,82.0773930753564,-58.5779444850503,491,-4.3060682799272,80,-24.579391013271,5,383.439343929291
16,"2020-08","2024-04",45,"2024-05",1,5.2,2.15,14.1,9608.51063954743,85.8376511226252,-59.4454641990156,579,0.200955807885966,66.6666666666667,-9.57702408224842,3,371.553714036942
17,"2020-08","2024-05",46,"2024-06",3,6.65,0,12.85,3671.16487612636,91.9496855345912,-62.9807603787581,795,2.47780768736422,100,-0.129707975579289,4,333.778739929199
18,"2020-08","2024-06",47,"2024-07",1,5.15,2.4,13.2,11557.9052845864,84.2016806722689,-56.3062868588286,595,7.42810555060058,100,-10.4026845637584,2,350.587779998779
19,"2020-08","2024-07",48,"2024-08",2,6.85,0,12.95,5073.05818507293,92.3469387755102,-52.5845013245934,588,-22.7847551998961,50,-26.8844068594563,4,246.869295120239
20,"2020-08","2024-08",49,"2024-09",2,6.85,0.2,18.8,6897.65368081513,95.2286282306163,-59.4597713392904,503,0,0,0,0,292.630471944809
21,"2020-08","2024-09",50,"2024-10",3,7.95,3.9,3.35,3267.25973425136,56.0377358490566,-54.9439517126382,530,0,0,0,0,228.354280948639
22,"2020-08","2024-10",51,"2024-11",3,6.65,0,12.85,2971.56469211106,91.82156133829,-62.9807603787581,807,-0.0843638669309257,100,-2.05793652655282,1,257.753854990005
23,"2020-08","2024-11",52,"2024-12",1,6.25,0,20,3937.89282848604,94.392523364486,-64.1566735591451,428,0.27602208629587,100,-0.70296903669725,1,221.540040016174
24,"2020-08","2024-12",53,"2025-01",5,9.75,0,15,2703.30985768402,93.8775510204082,-55.8500297204167,392,8.11735371605346,100,-8.32800774917963,5,266.086911916733
25,"2020-08","2025-01",54,"2025-02",2,6.25,0.6,16.75,6114.87193574048,92.8571428571429,-64.6972329306178,616,10.2129033404659,100,-9.26925786811998,7,349.451102972031
26,"2020-08","2025-02",55,"2025-03",5,9.75,0,14.95,3018.74021443951,94,-55.8500297204167,400,11.7976376522739,100,-10.2376524994665,4,364.250457048416
27,"2020-08","2025-03",56,"2025-04",1,5.2,2.15,14.1,11089.8799195279,85.8075040783034,-59.4454641990156,613,-7.4449870009088,75,-17.4012184724935,4,187.53733086586
28,"2020-08","2025-04",57,"2025-05",2,6.75,2,13.5,10954.9734041076,86.046511627907,-60.8997621584831,516,2.82981263388065,100,-0.075,1,285.008032798767
29,"2020-08","2025-05",58,"2025-06",2,6.4,1,14.05,8388.45671868408,90.6050955414013,-61.7163019888923,628,0.954394991241352,100,-2.06567458954456,1,316.530128955841
30,"2020-08","2025-06",59,"2025-07",1,5.15,2.4,13.2,17108.8172764854,84.4094488188976,-56.3062868588286,635,0,0,0,0,257.09903383255
31,"2020-08","2025-07",60,"2025-08",1,6.15,0,10.2,3747.34454796925,89.492119089317,-61.5393650396627,571,0.848619213208294,100,-0.075,2,337.546489953995
32,"2020-08","2025-08",61,"2025-09",9,7.2,0,13.2,2656.72565060743,92.8293063133281,-63.9049291554995,1283,-13.4075256260025,0,-13.4075256260025,1,377.089177131653
33,"2020-08","2025-09",62,"2025-10",2,6.25,0.6,16.75,5298.49968645251,92.6216640502355,-64.6972329306178,637,-17.8736841569767,0,-18.0299039098741,1,425.522993087769
