"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2017-08","2019-12",29,"2020-01",6,6.3,0,5.9,210.271487762493,87.1359223300971,-29.3980108352474,412,0.318054507064789,100,-0.815565447667668,1,85.6045470237732
2,"2017-08","2020-01",30,"2020-02",3,5.05,0.15,7.8,323.895407147819,90.4428904428904,-30.2974519608881,429,1.7556532738858,100,-1.02484955839857,3,76.3716371059418
3,"2017-08","2020-02",31,"2020-03",6,6.2,0,5.4,181.16343531706,85.8426966292135,-29.4107239542421,445,-46.7501705867956,73.8095238095238,-53.4090501431603,42,62.6773421764374
4,"2017-08","2020-03",32,"2020-04",2,5.3,0,8.25,281.272259461259,90.5817174515235,-37.8369892851224,361,2.87903098740277,100,-1.52219150608145,5,90.5133910179138
5,"2017-08","2020-04",33,"2020-05",5,6.3,0.05,11.5,268.256479148372,93.3518005540166,-36.67472634099,361,6.11420857068475,100,-1.75516327460596,4,96.0352280139923
6,"2017-08","2020-05",34,"2020-06",2,5.25,0,12.7,352.355081533844,93.75,-28.3818604129511,336,-10.2438266632507,0,-12.4444873279174,1,83.9153831005096
7,"2017-08","2020-06",35,"2020-07",2,5.25,0,12.7,306.016611079111,93.4718100890208,-28.3818604129511,337,0.989781333488536,100,-0.075,1,94.4159319400787
8,"2017-08","2020-07",36,"2020-08",3,5.05,0,11.45,202.513775437982,93.1192660550459,-41.0061938742327,436,0.705735826686159,100,-0.075,2,100.038516998291
9,"2017-08","2020-08",37,"2020-09",6,6.25,0,8.7,298.040943974334,90.8878504672897,-41.5322065876731,428,2.10028958401983,100,-1.08302668720972,4,83.2504589557648
10,"2017-08","2020-09",38,"2020-10",2,5.25,0,12.7,371.875444326676,93.8953488372093,-28.3818604129511,344,0,0,0,0,103.120550870895
11,"2017-08","2020-10",39,"2020-11",2,5.25,0,12.7,371.875444326676,93.8953488372093,-28.3818604129511,344,1.87713061634591,100,-1.07029216083309,4,130.463511943817
12,"2017-08","2020-11",40,"2020-12",3,5,0,18.7,343.832416196937,96.3636363636364,-39.204383308952,385,4.887337737864,100,-5.2181602594616,7,91.5380458831787
13,"2017-08","2020-12",41,"2021-01",2,5.25,0,7.8,352.345295713111,91.0669975186104,-37.8369892851225,403,-0.64466175935544,88.4615384615385,-15.2202634314207,26,138.990717887878
14,"2017-08","2021-01",42,"2021-02",3,5.8,0,12.7,357.553500500072,93.7158469945355,-31.1460462175687,366,6.81728613328984,100,-10.3747298269119,8,100.315736055374
