"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2017-08","2019-12",29,"2020-01",10,3.85,1.15,8.2,482.303647109572,88.7521968365554,-34.0561807675083,569,1.07270390557242,100,-2.50198434029547,1,186.748492002487
2,"2017-08","2020-01",30,"2020-02",8,4,1.1,12.05,839.202952224952,93.5802469135802,-38.5928979373504,405,3.86907648563983,100,-2.3237076155999,3,252.090182065964
3,"2017-08","2020-02",31,"2020-03",10,4.6,1.1,18.65,1550.66751318165,97.3333333333333,-40.6398688791456,300,-20.0114749597831,86.6666666666667,-47.9636960596516,30,272.239377975464
4,"2017-08","2020-03",32,"2020-04",10,4.25,0.75,20,744.070671928564,97.1223021582734,-58.14127358368,417,5.15861295549375,100,-3.3507259954516,5,315.171076059341
5,"2017-08","2020-04",33,"2020-05",10,4.35,1.15,12.9,995.569367894231,93.4731934731935,-58.076077030807,429,6.3397617103198,100,-7.25044503024419,4,302.869822978973
6,"2017-08","2020-05",34,"2020-06",8,4.65,1.3,8.25,663.493679179907,87.9177377892031,-40.0628755220869,389,1.24329531113308,100,-2.0971729807639,1,314.604072809219
7,"2017-08","2020-06",35,"2020-07",10,4.05,0.95,20,1273.94692618236,96.8181818181818,-55.5320398722134,440,2.33576857882437,100,-0.550078291853586,2,324.366870880127
8,"2017-08","2020-07",36,"2020-08",1,2.3,0.85,16.65,1342.55892305239,96.078431372549,-47.3876127126018,510,3.75423301679679,100,-3.31973021309012,4,327.914957046509
9,"2017-08","2020-08",37,"2020-09",10,4.25,1.2,19.45,2137.89297547129,96.7654986522911,-53.0052784645425,371,1.05830444312915,100,-9.40521368907113,1,344.229691028595
10,"2017-08","2020-09",38,"2020-10",10,4.25,1.2,19.45,2161.57669626318,96.7741935483871,-53.0052784645425,372,1.11628227265051,100,-1.58120313683926,1,362.337661981583
11,"2017-08","2020-10",39,"2020-11",1,2.75,1.25,11.85,1402.42102335943,92.9824561403509,-60.8693868325729,399,4.75486148781474,80,-1.40847008788733,5,380.61814904213
12,"2017-08","2020-11",40,"2020-12",10,4.15,1.1,12.2,1585.17229903151,93.6863543788187,-56.3138542727063,491,9.11373843616999,100,-6.84061853271923,7,391.958386898041
13,"2017-08","2020-12",41,"2021-01",3,4.5,9.6,17.7,2359.37595910976,78.7878787878788,-52.9761100117119,99,-1.71846212139902,60,-25.2396864005913,5,428.118352174759
14,"2017-08","2021-01",42,"2021-02",9,5.6,9.45,11.45,2422.68777178537,68.8,-49.7793406352458,125,-11.7987747067679,0,-18.8622874042741,1,406.369886875153
15,"2017-08","2021-02",43,"2021-03",9,4.6,1.2,19,2407.49234490762,96.8571428571428,-49.3942887238008,350,1.22173727311572,100,-1.0706030230952,1,442.5841319561
16,"2017-08","2021-03",44,"2021-04",9,4.7,1.1,18.45,1776.41420826101,96.6480446927374,-46.0680007116053,358,3.54019019250789,100,-6.60782907145509,3,487.091762065887
17,"2017-08","2021-04",45,"2021-05",1,2.3,0.85,16.65,3373.45991542013,96.6386554621849,-47.3876127126018,595,-24.6151040979939,87.8048780487805,-36.1643771677916,41,460.336952924728
18,"2017-08","2021-05",46,"2021-06",10,4.1,0.9,12.15,3493.46845893072,94.811320754717,-56.9179767074339,636,-9.4094544760431,80,-12.9590211210316,5,451.140748023987
19,"2017-08","2021-06",47,"2021-07",10,4.2,1.15,11.85,2338.38086403907,93.1818181818182,-54.3604308858035,572,2.15287763870329,100,-6.01924334080745,2,442.127465009689
20,"2017-08","2021-07",48,"2021-08",10,4.1,0.9,12.15,3225.42622480135,94.7122861586314,-56.9179767074339,643,0,0,0,0,480.755993127823
21,"2017-08","2021-08",49,"2021-09",10,4.15,1.15,20,3373.60051723712,96.9230769230769,-54.2559228741285,455,-11.4863304648911,0,-19.0989052123213,1,521.402771949768
22,"2017-08","2021-09",50,"2021-10",10,4.2,0.65,20,2210.18432901364,97.6391231028668,-59.2511274437308,593,6.75851668635696,100,-1.39351429862271,6,488.872473955154
23,"2017-08","2021-10",51,"2021-11",6,2.5,4.5,16.5,2589.06213129647,83.5135135135135,-69.9104664885389,370,-9.93346018924059,50,-19.0683194601577,4,511.276053905487
24,"2017-08","2021-11",52,"2021-12",1,2.3,0.85,16.65,2199.76763997362,95.9214501510574,-47.3876127126018,662,5.29840934424128,100,-9.90364573159834,5,556.571557044983
25,"2017-08","2021-12",53,"2022-01",1,2.3,0.85,16.65,1947.98444293844,95.9398496240601,-49.4614595255113,665,-16.0001693275333,60,-20.8267663446813,5,512.516718864441
26,"2017-08","2022-01",54,"2022-02",10,4.25,0.6,12.2,2214.1395879495,95.5823293172691,-60.4561710191132,747,1.59567575227646,100,-3.29082953629436,3,543.094132900238
27,"2017-08","2022-02",55,"2022-03",10,4.1,0.9,12.15,3426.64533099694,94.6428571428571,-56.9179767074339,672,3.94453247104457,100,-2.04104053279651,4,533.084062099457
28,"2017-08","2022-03",56,"2022-04",10,4.1,0.9,12.15,3565.75500121669,94.6745562130178,-56.9179767074339,676,0,0,0,0,530.069756031036
29,"2017-08","2022-04",57,"2022-05",1,2.75,0.85,16.95,2584.97034289565,96.360153256705,-48.3735526791612,522,16.0380836401424,100,-4.37903819505368,11,453.221263170242
30,"2017-08","2022-05",58,"2022-06",9,3.65,0.75,12.75,1965.8985344389,95.1048951048951,-56.5883265558155,858,3.66652648416039,91.6666666666667,-14.4104917588966,12,441.133738994598
31,"2017-08","2022-06",59,"2022-07",10,4.25,0.75,20,2558.94443405862,97.4271012006861,-58.14127358368,583,2.46058847615657,100,-8.45431222147893,3,486.016419887543
32,"2017-08","2022-07",60,"2022-08",10,4.1,0.9,12.15,4316.79429510281,94.7293447293447,-56.9179767074339,702,0.878832112098116,100,-0.647321580486415,1,499.917600154877
33,"2017-08","2022-08",61,"2022-09",10,4.75,1.15,20,1676.859344751,96.2686567164179,-51.7304201870893,402,-9.98074659956217,0,-16.8123709244339,1,430.140901088715
