"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2017-08","2019-12",29,"2020-01",7,8.9,0,1.05,126.361735562075,65.9203980099502,-37.9726405620998,402,0,0,0,0,78.066034078598
2,"2017-08","2020-01",30,"2020-02",7,8.9,0,1.05,126.361735562075,65.9203980099502,-37.9726405620998,402,0.249588254037972,75,-4.94562304624045,8,72.7206349372864
3,"2017-08","2020-02",31,"2020-03",10,6.45,0,18.2,244.593059764394,95.724907063197,-44.8910475881643,538,-41.7415542461349,85.1851851851852,-60.6333356095083,27,82.1025788784027
4,"2017-08","2020-03",32,"2020-04",3,11.2,7.65,12.7,1332.544214245,78.4615384615385,-36.754402513418,65,0,0,0,0,68.9475319385529
5,"2017-08","2020-04",33,"2020-05",3,11.2,7.65,12.7,1332.544214245,78.4615384615385,-36.754402513418,65,8.48663456375405,100,-6.15215199085143,1,106.160365104675
6,"2017-08","2020-05",34,"2020-06",3,13.75,4.45,11.3,953.904720201534,92.8571428571429,-16.2145176138029,42,0,0,0,0,84.4766590595245
7,"2017-08","2020-06",35,"2020-07",2,7,0,1.65,262.57755399043,70.625,-39.6230184548456,320,0.329373039374423,100,-0.075,1,75.4937529563904
8,"2017-08","2020-07",36,"2020-08",3,10.8,17.3,11.85,2246.51683900273,64.7058823529412,-44.4058524487141,51,18.3443848199651,100,-8.7614113002714,1,87.7366900444031
9,"2017-08","2020-08",37,"2020-09",3,10.85,13.7,12.35,3076.43079452263,73.2142857142857,-33.2176468817343,56,-2.14942143419965,50,-16.4614242972364,2,92.2942399978638
10,"2017-08","2020-09",38,"2020-10",2,8.7,7.85,12.7,1629.48305958676,75,-40.5198041261435,96,0,0,0,0,94.0569431781769
11,"2017-08","2020-10",39,"2020-11",3,11.1,11.35,12.05,1531.62450885911,74.1379310344828,-35.6071288673377,58,11.7969317544074,100,-7.12530353719505,1,132.14608502388
12,"2017-08","2020-11",40,"2020-12",3,10.6,10.55,16,1916.31135499128,77.9411764705882,-42.985180357847,68,11.5876523569819,100,-13.0194532411297,1,147.058701038361
