"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2017-08","2019-12",29,"2020-01",8,8.45,0,2.65,881.241034022509,79.2929292929293,-27.995671069395,396,1.16087671109401,100,-0.075,1,91.0294890403748
2,"2017-08","2020-01",30,"2020-02",6,9.5,0.4,17.75,1496.53781689702,97.5155279503106,-28.7684259348131,161,1.69792965847515,100,-0.0750000000000059,2,136.995586156845
3,"2017-08","2020-02",31,"2020-03",2,5.25,0,5.9,602.297986715031,89.3364928909953,-30.4963921780832,422,16.5313754151814,83.3333333333333,-21.5978552961424,42,94.6096050739288
4,"2017-08","2020-03",32,"2020-04",2,5.45,0,6.05,962.828823894047,89.2271662763466,-25.8010922735139,427,3.13767766779805,100,-0.564472968069676,2,171.761476993561
5,"2017-08","2020-04",33,"2020-05",2,5.45,0,6.05,996.176966548292,89.2773892773893,-25.8010922735139,429,1.70358052058595,100,-6.0817132758083,2,113.629175186157
6,"2017-08","2020-05",34,"2020-06",6,10.2,0.2,19.3,1578.33299843228,98.6754966887417,-29.8584515356512,151,0.156854528069398,100,-1.27326420005975,1,145.94931602478
7,"2017-08","2020-06",35,"2020-07",7,11.45,0,15.15,1532.54211018348,96.8,-18.1763947501761,125,0,0,0,0,115.292080163956
8,"2017-08","2020-07",36,"2020-08",5,10.4,0.6,16.55,1678.82409861451,98.3870967741936,-24.1293670418896,124,2.52238343057237,100,-0.587903680438123,1,177.867820978165
9,"2017-08","2020-08",37,"2020-09",5,10.4,0.6,16.55,1723.69286293699,98.4,-24.1293670418896,125,3.04427076907588,100,-3.46946679771485,3,172.063360929489
10,"2017-08","2020-09",38,"2020-10",5,10.8,0,14.9,1616.55238015847,97.6190476190476,-21.587389516826,126,0,0,0,0,170.8715031147
11,"2017-08","2020-10",39,"2020-11",7,11.45,0,14.9,1582.77658334706,96.8992248062015,-18.1763947501761,129,0.122173269814502,100,-8.8080611209262,1,171.77956700325
12,"2017-08","2020-11",40,"2020-12",7,11.45,0,14.9,1584.83248652261,96.9230769230769,-18.1763947501761,130,1.098181953125,100,-0.617696120689652,1,184.401035070419
13,"2017-08","2020-12",41,"2021-01",6,10.2,0.2,19.3,1720.61412183467,98.75,-29.8584515356512,160,23.7756321752028,100,-13.3156809816528,16,179.965794801712
14,"2017-08","2021-01",42,"2021-02",6,10.2,0.2,19.3,2153.47663877188,98.8636363636364,-29.8584515356512,176,11.1035657176864,100,-3.54983239852643,3,182.002272129059
15,"2017-08","2021-02",43,"2021-03",6,10.2,0.2,19.3,2403.69289829062,98.8826815642458,-29.8584515356512,179,0,0,0,0,176.56341791153
16,"2017-08","2021-03",44,"2021-04",6,10.2,0.2,19.3,2403.69289829062,98.8826815642458,-29.8584515356512,179,7.20111934009421,100,-1.31045843102885,5,206.416945934296
17,"2017-08","2021-04",45,"2021-05",6,10.2,0.2,19.3,2583.98681180599,98.9130434782609,-29.8584515356512,184,14.7218945893698,95.4545454545455,-27.5256445329454,22,202.705513954163
18,"2017-08","2021-05",46,"2021-06",5,10.35,0,15.4,2504.16818815589,97.2375690607735,-24.1293670418896,181,0,0,0,0,215.071141004562
19,"2017-08","2021-06",47,"2021-07",6,9.55,0,20,2618.66616373899,97.5806451612903,-35.6745897491928,248,0,0,0,0,195.757858037949
20,"2017-08","2021-07",48,"2021-08",2,5.95,0,20,2404.22597624298,97.1428571428571,-39.9123783375658,350,0,0,0,0,206.143173933029
21,"2017-08","2021-08",49,"2021-09",3,6.95,0,17.4,2434.37930804127,96.8944099378882,-37.6174728439253,322,5.7154777649143,100,-2.81305172754675,7,202.813592910767
22,"2017-08","2021-09",50,"2021-10",5,10.8,0,14.9,2591.10062971176,97.6047904191617,-21.587389516826,167,0,0,0,0,231.293692111969
23,"2017-08","2021-10",51,"2021-11",3,7.4,0,16.95,2679.10730580963,96.9178082191781,-40.0295494983785,292,0.0383128915148882,100,-2.865629253111,1,180.534636974335
24,"2017-08","2021-11",52,"2021-12",4,8.3,0,20,3083.64498444503,97.3584905660377,-33.9025924484674,265,4.74091412734428,100,-0.075,2,242.10551404953
25,"2017-08","2021-12",53,"2022-01",5,9.6,0,17.6,3923.31063584733,97.7578475336323,-28.9052838584201,223,1.83926790837639,100,-1.1172891893558,2,152.739130020142
26,"2017-08","2022-01",54,"2022-02",6,9.4,0,19.05,2806.72728705113,97.4169741697417,-37.1856548948702,271,0,0,0,0,222.274786949158
27,"2017-08","2022-02",55,"2022-03",3,7.4,0,16.95,2954.48130209052,96.989966555184,-40.0295494983785,299,0,0,0,0,177.240300893784
28,"2017-08","2022-03",56,"2022-04",1,4.7,0,20,2224.17570289836,97.0319634703196,-33.680349459805,438,0,0,0,0,221.651090860367
29,"2017-08","2022-04",57,"2022-05",6,11.35,0,16.7,2746.99644084034,97.5609756097561,-18.176394750176,164,3.48563104040921,100,-5.23732954574812,3,167.027756929398
30,"2017-08","2022-05",58,"2022-06",3,7.1,0,18.95,2517.38223687154,97.2136222910217,-40.7813335257241,323,20.2592937275519,100,-11.5936529259492,13,213.604923963547
31,"2017-08","2022-06",59,"2022-07",4,7.9,0,18.25,2647.83760738727,97.2307692307692,-35.0916633315133,325,4.49428263475924,100,-0.834184575625677,3,208.706115007401
32,"2017-08","2022-07",60,"2022-08",4,7.9,0,18.25,2771.33319580746,97.2560975609756,-35.0916633315133,328,0,0,0,0,217.822414875031
33,"2017-08","2022-08",61,"2022-09",4,8.15,0,17.6,2500.86068392377,97.0684039087948,-35.3950343110673,307,0.0620863807960814,100,-2.44201285703761,2,210.337916135788
34,"2017-08","2022-09",62,"2022-10",1,4.9,0.35,19.8,2443.26488727698,96.7661691542288,-39.9773251922176,402,0.966647015892158,100,-0.075,1,221.801352977753
35,"2017-08","2022-10",63,"2022-11",1,4.9,0.35,19.8,2467.84928141608,96.7741935483871,-39.9773251922176,403,-11.9614843918655,81.8181818181818,-21.4386976404109,11,197.271702051163
36,"2017-08","2022-11",64,"2022-12",3,7.1,0,20,3381.17279856809,97.3913043478261,-41.786641471658,345,0,0,0,0,210.245094060898
37,"2017-08","2022-12",65,"2023-01",3,7.4,0,16.95,3523.81026806309,96.9788519637462,-40.0295494983785,331,-0.139573893059278,100,-0.139573893059278,1,222.200088977814
38,"2017-08","2023-01",66,"2023-02",3,7,0,17.85,3039.55336104625,97.0027247956403,-37.6174728439253,367,0,0,0,0,207.782207965851
39,"2017-08","2023-02",67,"2023-03",2,5.95,0,20,2893.38563981401,97.2081218274112,-39.9123783375658,394,0.911066385385329,100,-0.075,1,241.129454135895
40,"2017-08","2023-03",68,"2023-04",4,7.9,0,18.25,2415.12710553931,97.0414201183432,-35.0916633315133,338,2.32496139373727,100,-0.075,1,214.314369916916
41,"2017-08","2023-04",69,"2023-05",2,5.45,0,17,2451.63168179898,97.0703125,-38.5429239433018,512,0,0,0,0,218.845738887787
42,"2017-08","2023-05",70,"2023-06",1,4.75,0.05,20,2453.30330320789,97.4522292993631,-33.680349459805,471,0,0,0,0,235.087934017181
43,"2017-08","2023-06",71,"2023-07",1,4.75,0.05,20,2453.30330320789,97.4522292993631,-33.680349459805,471,0,0,0,0,247.302622079849
44,"2017-08","2023-07",72,"2023-08",2,6.15,0,20,2549.02468718458,96.986301369863,-39.9123783375658,365,0.973194239854602,100,-2.23030936479416,2,243.105760097504
45,"2017-08","2023-08",73,"2023-09",1,4.95,0.15,14.85,2436.39893204283,96.1968680089485,-39.0236286754066,447,0,0,0,0,214.902583122253
46,"2017-08","2023-09",74,"2023-10",2,6,0,17.2,2496.08958287788,96.7418546365915,-42.715013736255,399,0,0,0,0,263.760088920593
47,"2017-08","2023-10",75,"2023-11",3,7,0,17.85,3147.91595104339,97.0189701897019,-37.6174728439253,369,0,0,0,0,212.251138210297
48,"2017-08","2023-11",76,"2023-12",2,6.15,0,20,2574.80484285259,97.0027247956403,-39.9123783375658,367,-0.124096525552432,100,-0.556208409392166,1,253.442070007324
49,"2017-08","2023-12",77,"2024-01",1,5.15,0,15.85,2818.25595415958,96.6751918158568,-39.0236286754066,391,1.90441443929229,100,-0.075,1,226.466639995575
50,"2017-08","2024-01",78,"2024-02",1,4.95,0.15,14.85,2493.31294962698,96.2138084632517,-39.0236286754066,449,0.720975376662172,100,-2.53095164002609,1,267.015861034393
51,"2017-08","2024-02",79,"2024-03",2,6.1,0.1,6.2,2456.2042051785,89.3939393939394,-32.0045516519897,462,5.35019259875164,100,-1.07428918498272,2,223.676206111908
52,"2017-08","2024-03",80,"2024-04",2,6.6,0.15,18.95,2863.02910031644,97.4522292993631,-36.9299983791443,314,0.306240943675184,100,-7.23285848567355,2,255.579262018204
53,"2017-08","2024-04",81,"2024-05",2,6.1,0.1,6.2,2403.12674344188,89.2703862660944,-32.0045516519897,466,3.18270819061247,100,-0.075,2,233.044947862625
54,"2017-08","2024-05",82,"2024-06",2,6.1,0.1,6.2,2482.79396332682,89.3162393162393,-32.0045516519897,468,0,0,0,0,245.998627185822
55,"2017-08","2024-06",83,"2024-07",2,6.1,0.1,6.2,2482.79396332682,89.3162393162393,-32.0045516519897,468,0.433464540217337,100,-2.73948023603451,1,262.648609876633
56,"2017-08","2024-07",84,"2024-08",2,6.1,0.1,6.2,2493.98945930472,89.3390191897655,-32.0045516519897,469,-1.101982578266,85.7142857142857,-9.61506240170016,7,241.695800065994
57,"2017-08","2024-08",85,"2024-09",1,4.75,0,20,2415.88307565905,96.9072164948454,-33.680349459805,485,0,0,0,0,199.593355894089
58,"2017-08","2024-09",86,"2024-10",1,4.75,0,20,2415.88307565905,96.9072164948454,-33.680349459805,485,0,0,0,0,214.889997005463
59,"2017-08","2024-10",87,"2024-11",4,8.1,0,17.45,2772.89060626352,96.996996996997,-35.3950343110673,333,0,0,0,0,236.185328960419
60,"2017-08","2024-11",88,"2024-12",2,6.25,0,7.85,2204.5857164642,91.304347826087,-27.6008179264592,437,-0.129690791416597,100,-0.129690791416597,1,198.227750062943
61,"2017-08","2024-12",89,"2025-01",2,5.5,0.2,18.6,3512.7724768652,97.265625,-40.6326921357469,512,1.27732896950098,100,-0.520549780137208,1,215.057677984238
