window_id,train_months,test_months,lookback,minDrop,TP,SL,atrLength,train_score,train_return_pct,train_win_rate,train_max_dd,train_trades,test_return_pct,test_win_rate,test_max_dd,test_trades,test_signals,opt_time_secs
79,2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01,2025-02,11,4.5,7.4,2.2,14,0.479806604455512,89.4060525205308,31.0924369747899,-23.4925158352585,119,-28.2832895022878,0,-28.5432635081413,14,107,15.5847659111023
80,2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02,2025-03,17,6.5,6.4,0.2,14,0.436761718374355,4.38913134414957,5.97014925373134,-11.2935432998981,134,-4.78530685382091,0,-4.78530685382091,14,28,14.9373340606689
81,2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03,2025-04,19,7.6,0.2,9.7,14,0.410222459373224,1.70567897433439,100,-7.92492140534352,34,0.448699548417462,100,-1.00602851027411,9,16,14.6786341667175
82,2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04,2025-05,12,4,1.85,8.3,14,0.422939662333575,23.5505139077818,84.9206349206349,-33.1537321025407,126,2.37747126873031,80,-6.56955038774288,5,95,14.8052270412445
83,2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05,2025-06,13,4,6.55,11.65,14,0.40487563718392,75.2139675636887,73.1707317073171,-29.9853836194777,41,3.16258918060457,100,-10.8202022901205,1,194,14.3534648418427
84,2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06,2025-07,16,4.5,7.3,5.55,14,0.4423518026594,89.1950855739427,53.7313432835821,-26.8492716756139,67,9.36219287848371,100,-6.33557184996355,2,93,14.4799931049347
85,2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07,2025-08,20,4,1.4,7.2,14,0.483878183779056,36.2904808422268,87.8980891719745,-23.310915010543,157,-8.58635724461512,75,-13.5472742797825,8,383,13.8398909568787
86,2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08,2025-09,8,4.45,0.2,12,14,0.529275556476792,10.6805275959253,100,-10.1123061198469,204,1.15068171722985,100,-0.465149894199658,23,53,14.3638339042664
87,2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09,2025-10,8,4.45,0.2,12,14,0.530121498982767,11.6204637136754,100,-10.1123061198469,221,-11.2534060738557,95.2380952380952,-19.4526338268791,21,68,15.019024848938
88,2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10,2025-11,20,4.75,1.4,5.15,14,0.458529180210609,8.05051909031139,82.1656050955414,-22.3331803283783,157,-16.8940482565009,58.3333333333333,-23.3614908648414,12,201,15.7191529273987
89,2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11,2025-12,4,4,4.85,0.3,14,0.448555076659781,0.847932471937438,9.03954802259887,-14.95890459951,177,-4.50329801535305,4.54545454545455,-6.21429775326009,22,46,14.3411319255829
90,2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12,2026-01,12,5.1,1.85,3.2,14,0.415428158207414,5.24225754064191,67.2566371681416,-24.4170519823213,113,0,0,0,0,0,13.1236591339111
