window_id,train_months,test_months,lookback,minDrop,TP,SL,train_score,train_return_pct,train_win_rate,train_max_dd,train_trades,test_return_pct,test_win_rate,test_max_dd,test_trades,test_signals,opt_time_secs
7,2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10,2024-11,5,4,8,4.15,0.506573997645393,195.693204320627,44.8,-44.4570808268267,125,-4.79522612866897,37.5,-22.3326036075613,16,33,26.4888281822205
8,2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11,2024-12,14,4.1,6,4.6,0.678918684553019,371.321224949906,53.11004784689,-54.89717101198,209,-26.9995819689084,36,-44.4312609760949,25,307,24.3624529838562
9,2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12,2025-01,17,6.8,1,1.6,0.429067405235623,6.48019969681238,66.6666666666667,-11.9850565350864,99,-10.2046964957508,36.3636363636364,-12.896566750068,11,33,21.1784789562225
10,2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01,2025-02,20,4.15,4.85,5.5,0.473255519475737,126.756477409762,58.7548638132296,-56.7342473665547,257,-37.7067341004743,38.0952380952381,-43.0608920985361,21,514,30.0747301578522
11,2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02,2025-03,4,4.75,4.15,1.6,0.368674017222599,14.1997867492842,39.2156862745098,-30.487796456794,102,6.62195298075505,66.6666666666667,-2.00899768449812,3,5,14.9245309829712
12,2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03,2025-04,3,4.8,1,1.65,0.408605682954555,11.0606436973717,66.1971830985916,-13.6769295593897,71,-2.98903419692697,0,-2.98903419692697,1,2,17.3425300121307
13,2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04,2025-05,3,5.1,5.15,5.65,0.348225557911222,22.7884072999479,60.5263157894737,-26.8405071039798,38,-11.4038847492066,0,-12.0739683410279,2,5,14.8330199718475
14,2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05,2025-06,3,4.25,5.9,1.55,0.430664336772602,44.392853327478,30.2752293577982,-18.8291460182602,109,-15.2410133899305,8.33333333333333,-17.0004799128928,12,21,18.9535300731659
15,2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06,2025-07,2,5.05,1.65,1,0.37191552530011,8.07903054714632,53.8461538461539,-8.92558036726241,26,-1.17553753879216,0,-1.44241200941486,1,1,10.814572095871
16,2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07,2025-08,2,5.3,1.3,2.05,0.392763722336616,16.4388224478008,76.4705882352941,-4.14004374189104,17,-4.04487184205913,33.3333333333333,-4.04487184205913,3,3,18.0377719402313
17,2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08,2025-09,2,4,4.7,1,0.402676277166931,24.6216213617418,29.4117647058824,-16.936034102828,85,-2.75633081754277,20,-7.79231940213839,10,12,20.2586278915405
18,2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09,2025-10,20,7.7,2.45,3.55,0.392601130517766,12.468205200767,61.9047619047619,-10.5160804143274,42,-19.7681873463959,50,-28.5013595333869,6,20,11.8235309123993
