window_id,train_months,test_months,lookback,minDrop,TP,SL,train_score,train_return_pct,train_win_rate,train_max_dd,train_trades,test_return_pct,test_win_rate,test_max_dd,test_trades,test_signals,opt_time_secs
7,2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10,2024-11,20,6.5,1.7,4.55,0.401612947374247,46.1315024435479,88,-15.7169860094378,25,0,0,0,0,0,4.87644791603088
8,2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11,2024-12,13,4,1,2.95,0.422262887544092,19.0825532436001,70.2325581395349,-38.5000197849432,215,3.52887454341937,73.9130434782609,-9.01607170579586,23,73,4.78417587280273
9,2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12,2025-01,12,4.55,1,1.35,0.442142954957802,25.5012276109049,61.2903225806452,-17.435948691869,124,2.01068362982773,50,-12.5082178813552,22,55,5.41760921478272
10,2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01,2025-02,19,5.55,1.5,2.05,0.425210980415277,39.0248668147933,62.8318584070797,-25.26307314445,113,-22.6635951707513,47.0588235294118,-26.2499609411733,17,48,5.78723788261414
11,2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02,2025-03,14,5.95,2.7,5.3,0.420127336104642,55.8206098264666,78.7878787878788,-14.0562535438189,33,-9.78660574949194,50,-10.6973479012091,6,12,5.95044898986816
12,2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03,2025-04,15,6.5,3.65,4.85,0.435347444696996,85.3381441625075,85.7142857142857,-14.0931782970537,21,-12.5308608145449,0,-12.5308608145449,2,2,5.70106601715088
13,2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04,2025-05,20,7.1,8,3.75,0.423564565242411,108.872520341896,60,-20.3297485200731,20,0,0,0,0,0,5.63220286369324
14,2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05,2025-06,13,5.85,2.6,4.3,0.413565950005885,50.5734794608233,70.2702702702703,-14.6756176302254,37,6.58247883461885,80,-6.56489149790503,5,11,6.12142992019653
15,2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06,2025-07,18,6.95,3.9,3.95,0.420020775907902,55.2817160025158,75,-7.93377032976196,20,0,0,0,0,0,5.53339314460754
16,2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07,2025-08,16,7.1,4.65,2.8,0.398069285571972,46.9012654742722,75,-8.48655265176213,12,-3.84475630076715,0,-4.71852100089365,1,1,5.35197114944458
17,2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08,2025-09,12,4.5,4.8,6,0.417492970662356,73.5569154345119,61.1111111111111,-33.0879362614201,90,6.89921486858428,66.6666666666667,-8.52241652664119,6,32,5.63788795471191
18,2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09,2025-10,20,7.1,2.65,5.95,0.393537242121497,28.2250426780519,80,-9.47794626122453,20,10.0291983753814,100,-3.49854227405248,3,3,5.65125703811646
