window_id,train_months,test_months,lookback,minDrop,TP,SL,train_score,train_return_pct,train_win_rate,train_max_dd,train_trades,test_return_pct,test_win_rate,test_max_dd,test_trades,test_signals,opt_time_secs
7,2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10,2024-11,11,5.2,1.85,22.7,0.525208371528463,179.877219454357,100,-21.8915988709945,39,0,0,0,0,0,10.2422049045563
8,2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11,2024-12,17,3.6,2.85,25,0.573186692101763,286.382472797342,94.4444444444444,-46.3703395193525,72,-15.1490409288813,71.4285714285714,-39.4689825842279,7,154,11.1017320156097
9,2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12,2025-01,6,2.35,3,22.55,0.631438399038721,341.846042583819,91.1764705882353,-49.853676654068,102,8.62947009626347,90.9090909090909,-25.116793043977,11,145,13.6922509670258
10,2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01,2025-02,3,2.35,2.35,14.85,0.648793638153325,320.636963934346,88.5135135135135,-45.9731528792379,148,-36.5755139730083,64.2857142857143,-41.8612761757692,14,75,13.0920031070709
11,2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02,2025-03,3,2.1,0.9,11.85,0.508614382856171,115.311479591282,91.1347517730496,-46.9111082208357,282,-4.40305651618406,90.9090909090909,-28.7354583582028,33,99,11.5736680030823
12,2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03,2025-04,6,4.8,0.1,19.05,0.471525601275514,82.0018229778744,100,-11.4172151774166,42,2.28919109129445,100,-0.249441668673239,7,12,8.44787001609802
13,2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04,2025-05,16,5.3,0.1,21.95,0.500590433622887,104.757360866728,100,-21.8915988709945,93,3.20127891328832,90.9090909090909,-8.86503838443108,11,19,9.19740986824036
14,2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05,2025-06,6,4.7,0.1,13.1,0.471824673132524,76.0452327377188,100,-11.4172151774166,48,2.81689659904867,100,-6.74181762951508,5,13,7.62321996688843
15,2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06,2025-07,11,4.6,0.35,22.8,0.484755260216461,90.2151307864641,98.9583333333334,-23.2843304122204,96,-3.62073406232794,83.3333333333333,-9.72100150764591,6,16,8.64463901519775
16,2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07,2025-08,14,5.9,0.2,24.35,0.438578692340781,56.4782630663531,100,-16.3232259912175,47,2.99974985459074,100,-6.90758767835711,5,12,9.55391502380371
17,2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08,2025-09,11,5.1,0.25,22.85,0.476557487675118,83.0576567418478,100,-16.4624295059779,64,-6.67242360946917,50,-11.4847199439888,2,12,11.343169927597
18,2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09,2025-10,6,4.2,0.1,19.75,0.454579005441505,67.2290509292651,98.2758620689655,-17.1326093532181,58,-20.6951698965138,80,-22.1797731396174,5,12,10.4306111335754
