window_id,train_months,test_months,lookback,minDrop,TP,SL,train_score,train_return_pct,train_win_rate,train_max_dd,train_trades,test_return_pct,test_win_rate,test_max_dd,test_trades,test_signals,opt_time_secs
7,2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10,2024-11,17,2.4,0.1,25,0.639426960629924,249.680735322317,98.669623059867,-44.8735042300315,451,36.6759465846036,97.7272727272727,-18.7800425433679,44,584,23.4200479984283
8,2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11,2024-12,11,3.65,3,25,0.713942108509385,421.423997102253,94.1860465116279,-43.2451795091261,86,-24.442481562578,60,-44.2225887124697,5,153,21.4261159896851
9,2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12,2025-01,2,2,2.5,24.25,0.651423045204723,377.25766750673,92.5373134328358,-60.2671846698459,134,-4.01906135541953,80,-24.9284985796843,10,131,24.8807668685913
10,2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01,2025-02,16,2,2.35,14.55,0.808248576750318,501.085529972469,88.1278538812786,-57.6683644996944,219,-39.6120725899983,54.5454545454545,-44.7315990331422,11,738,25.2597408294678
11,2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02,2025-03,18,6.25,0.1,24.75,0.484082412904839,80.5518663919532,98.9473684210526,-20.3920770392749,95,-6.37582718089974,85.7142857142857,-19.4265365287978,7,51,17.2785320281982
12,2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03,2025-04,19,5.85,0.1,22.65,0.523797666132582,102.111486145074,99.290780141844,-22.649309437685,141,4.38602781086567,100,-20.1885911132694,11,72,13.664500951767
13,2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04,2025-05,16,5.95,0.1,19.5,0.479341730446057,68.6269758355911,100,-19.4265365287978,99,4.51038532512501,100,-3.61086242912563,5,9,13.1616771221161
14,2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05,2025-06,16,6,0.1,21.5,0.476663794236765,69.2285845434571,100,-19.4265365287978,94,-20.5573999358027,80,-23.1258880603427,5,41,13.8319962024689
15,2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06,2025-07,12,6.2,0.1,23.6,0.438778008272641,52.695928634432,100,-14.5003804135778,45,0,0,0,0,0,10.8062319755554
16,2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07,2025-08,20,6.05,0.1,21.4,0.469305845958407,49.3159800886071,98.4732824427481,-23.0302886365149,131,6.21427810781894,100,-8.47855877722383,15,59,15.7691919803619
17,2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08,2025-09,18,7.1,0.1,17.9,0.435204878912347,46.6534295537394,100,-14.5003804135779,47,1.85290133601486,100,-3.94599799130933,4,11,21.5040280818939
18,2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09,2025-10,12,5.8,0.2,19.3,0.42661755756752,42.9741559925794,98.2456140350877,-18.893560311284,57,-28.1793428531682,80,-30.153314749307,5,18,18.7180001735687
