window_id,train_months,test_months,lookback,minDrop,TP,SL,train_score,train_return_pct,train_win_rate,train_max_dd,train_trades,test_return_pct,test_win_rate,test_max_dd,test_trades,test_signals,opt_time_secs
7,2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10,2024-11,16,2.3,1.15,23.25,0.679902499757457,379.089855811833,94.9061662198391,-69.5771511943709,373,48.7154589166545,94.1176470588235,-29.8596852112619,34,1290,40.6153509616852
8,2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11,2024-12,13,3.1,3,11.3,0.790387816050179,512.747102389942,80.8695652173913,-66.6823221861723,345,9.94122820620618,79.3103448275862,-43.6318622761094,29,622,37.7931201457977
9,2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12,2025-01,18,4.95,3,10.65,0.792604313727637,665.437646848895,83.8235294117647,-59.9909625428082,204,-39.1081216938565,58.8235294117647,-47.0635156334233,17,260,42.1532890796661
10,2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01,2025-02,11,3.3,2.5,23.45,0.778486581337806,531.552332605633,92.5438596491228,-69.5942435559227,228,-38.108687390328,62.5,-43.7590679329878,8,407,45.5311968326569
11,2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02,2025-03,19,5.55,0.95,25,0.459613725059282,124.980229001772,96.4444444444445,-63.6091209582127,225,-27.4394677628257,80,-32.7458516616171,10,108,31.8532061576843
12,2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03,2025-04,15,4.9,1.45,18.55,0.398817032234822,48.5959588948961,92.3444976076555,-57.9858835950037,209,-1.27014957200321,85.7142857142857,-20.6596850337838,14,86,25.5577580928803
13,2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04,2025-05,14,4.65,1.3,18.8,0.448032811189934,73.6216087125499,93.4426229508197,-54.1777908968087,244,14.5979598194296,95.4545454545454,-21.3579949780956,22,139,30.7526009082794
14,2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05,2025-06,20,5.55,1.55,9.25,0.411693564919016,42.9021395127036,86.2222222222222,-53.2553771212103,225,-25.9575010947671,66.6666666666667,-33.3864769724629,18,150,27.968034029007
15,2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06,2025-07,13,4.1,1.35,20.5,0.433238428256787,72.5800924793651,93.4615384615385,-59.6048080684702,260,5.38622744969325,94.1176470588235,-20.0437317784257,17,165,37.7773141860962
16,2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07,2025-08,4,3.25,1.55,12.85,0.481099166848425,86.0154313533883,89.2116182572614,-45.7625112787976,241,17.4475101595427,90,-14.2029500908034,20,73,35.7724409103394
17,2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08,2025-09,20,5.05,3,10,0.59763455783468,264.440656623519,80.4761904761905,-54.6343853876053,210,-13.1023993670697,62.5,-24.1333783178022,8,156,36.279237985611
18,2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09,2025-10,12,3.9,2,15.9,0.491771936737045,179.557140658127,90.0862068965517,-69.1793688547405,232,-41.9213659655408,73.3333333333333,-51.6362218341393,15,193,33.386157989502
