window_id,train_months,test_months,lookback,minDrop,TP,SL,train_score,train_return_pct,train_win_rate,train_max_dd,train_trades,test_return_pct,test_win_rate,test_max_dd,test_trades,test_signals,opt_time_secs
7,2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10,2024-11,11,2,3,15.2,0.7688313641309,473.007394176963,83.0917874396135,-60.1367316684703,207,122.08689379006,88.4615384615385,-21.5957818546521,26,349,15.3255090713501
8,2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11,2024-12,19,2.45,2.4,12.95,0.821873642225315,531.276403487899,84.1698841698842,-56.7370999532091,259,-14.0768506459752,77.7777777777778,-44.2942578242221,18,356,14.7750298976898
9,2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12,2025-01,15,3.25,0.25,11.75,0.838006156337674,512.579985587719,93.6868686868687,-52.9457593352536,396,1.76332784400291,92.1052631578947,-21.8464615172186,38,179,16.5962579250336
10,2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01,2025-02,16,3.15,0.1,20.25,0.859629227732783,565.839644439243,97.0319634703196,-46.2955846674591,438,-10.4831139872172,93.9393939393939,-36.8975406670048,33,223,16.4136958122253
11,2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02,2025-03,14,2.85,0.85,14.65,0.723747684901121,406.528589105288,91.9444444444444,-62.7000891719535,360,-24.1105872930625,78.9473684210526,-35.3130478640425,19,229,13.4148268699646
12,2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03,2025-04,7,2.85,1.7,15.45,0.593896524147668,239.520907629336,89.4977168949772,-51.2036314916615,219,-18.3757652233141,80,-29.0848294344518,15,66,9.4126980304718
13,2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04,2025-05,16,3.15,0.1,20.9,0.515483894402864,178.772862217606,97.0114942528736,-64.6391429064728,435,10.7371559107376,96.969696969697,-25.1662589045206,33,226,9.53851199150085
14,2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05,2025-06,17,6.15,0.1,19.7,0.45454174165678,75.242755490771,100,-15.3741678994083,43,-4.84379429079798,66.6666666666667,-17.8606937799043,3,17,8.77998495101929
15,2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06,2025-07,18,6.9,2.25,24,0.42876368694146,79.5622133215574,100,-15.5026455026455,18,0,0,0,0,0,8.14704203605652
16,2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07,2025-08,19,6.75,2.1,22.1,0.436485233915482,86.0095731329036,95.2380952380952,-15.5026455026455,21,-0.512732193630345,50,-7.29571984435797,2,9,9.39151501655579
17,2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08,2025-09,4,2.25,2.75,13.7,0.47129719081636,171.808846616709,84.2391304347826,-65.6770736907623,184,1.7168847553713,80,-24.6305691588426,10,82,10.7755038738251
18,2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09,2025-10,15,3.2,0.15,12.2,0.476977429733403,91.3753169813116,93.9172749391727,-50.7396643397878,411,-24.632517081287,88.4615384615385,-36.7448053491138,26,169,9.95736694335938
