"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2018-05","2021-12",44,"2022-01",9,13.35,5.2,4.2,1144.27878073032,59.3220338983051,-41.0626555773952,177,0.547763727784804,50,-10.7109664724668,2,148.822550058365
2,"2018-05","2022-01",45,"2022-02",3,8.65,0,3.95,95.5975293644374,78.0952380952381,-45.153950042891,420,2.72138235263008,100,-2.56804551745349,3,234.64737701416
3,"2018-05","2022-02",46,"2022-03",1,3.7,0,6.8,306.254439737335,87.7692307692308,-57.337655046277,1300,8.59867376102868,85.7142857142857,-1.80369481845609,7,238.500673055649
4,"2018-05","2022-03",47,"2022-04",1,3.35,0,13.2,610.887182778645,92.863436123348,-57.2129007450344,1135,3.13357589075615,100,-2.37344008133182,7,286.642416000366
5,"2018-05","2022-04",48,"2022-05",9,13.35,5.2,4.2,1151.09448856369,59.2178770949721,-41.0626555773952,179,-2.42823276363342,50,-25.587224015824,6,223.670847177505
6,"2018-05","2022-05",49,"2022-06",6,13.1,5.4,4.25,1071.52427892178,60.2484472049689,-38.8723856183445,161,0,0,0,0,218.14798116684
7,"2018-05","2022-06",50,"2022-07",8,13.1,4.65,4.4,787.32739742639,61.9565217391304,-38.8723856183445,184,0,0,0,0,334.756211996078
8,"2018-05","2022-07",51,"2022-08",4,8.85,5.2,3.05,737.755715730234,49.4505494505495,-55.6614708820883,364,7.77281450554257,100,-3.88936905790839,1,263.517680883408
9,"2018-05","2022-08",52,"2022-09",9,13.6,7.9,13.05,1571.13184171151,74.3589743589744,-64.2780309665487,117,18.0135761582477,100,-6.33558144287759,2,276.23943400383
10,"2018-05","2022-09",53,"2022-10",1,3.35,0,13.2,366.141978125563,92.8104575163399,-57.3765850533663,1224,3.2476674529885,87.5,-11.2114633899676,8,186.366410970688
11,"2018-05","2022-10",54,"2022-11",10,12.95,6.8,4.25,857.849670990648,52.2167487684729,-43.7935811143725,203,-3.78931025375065,33.3333333333333,-11.3344100838318,3,287.635802030563
12,"2018-05","2022-11",55,"2022-12",6,13.35,8.2,6.35,1377.11276667069,58.3333333333333,-49.4776960791415,144,0,0,0,0,252.187005996704
13,"2018-05","2022-12",56,"2023-01",6,13.45,8.25,4.45,1120.18695098712,51.6778523489933,-41.6101746668192,149,0,0,0,0,317.610062122345
14,"2018-05","2023-01",57,"2023-02",7,13.65,7.4,6.4,1355.89947138368,60.8108108108108,-49.4776960791415,148,0,0,0,0,187.5118060112
15,"2018-05","2023-02",58,"2023-03",8,11.55,2.4,0,72.7674035692425,40.2439024390244,-36.7369438863998,410,0,0,0,0,268.139282941818
16,"2018-05","2023-03",59,"2023-04",9,13.35,5.2,4.2,1157.4168105893,58.7301587301587,-41.0626555773952,189,0,0,0,0,293.428839206696
17,"2018-05","2023-04",60,"2023-05",10,12.9,5.2,4.2,760.293910672156,56.62100456621,-41.2186678688603,219,0,0,0,0,214.304833173752
18,"2018-05","2023-05",61,"2023-06",6,13.35,8.2,6.35,1377.11276667069,58.3333333333333,-49.4776960791415,144,0,0,0,0,267.725222826004
19,"2018-05","2023-06",62,"2023-07",6,13.45,8.25,4.45,1120.18695098712,51.6778523489933,-41.6101746668192,149,30.9215539953096,66.6666666666667,-8.95094700359145,3,205.30170083046
20,"2018-05","2023-07",63,"2023-08",8,12,6.4,4.85,1231.55325161123,53.3039647577093,-50.0753828738371,227,6.54379970735354,100,-4.25240054869684,1,215.054749965668
21,"2018-05","2023-08",64,"2023-09",7,13.05,8.35,6.5,1825.54697940166,57.5,-57.9074593044498,160,0,0,0,0,264.245755910873
22,"2018-05","2023-09",65,"2023-10",6,13.55,14.6,4.3,1896.92674307287,39.8550724637681,-61.4979234502981,138,0,0,0,0,280.306280851364
23,"2018-05","2023-10",66,"2023-11",6,13.35,8.2,6.35,1888.4737277869,58.7837837837838,-49.4776960791415,148,-6.64400847709923,0,-8.69282303789912,1,290.30594086647
24,"2018-05","2023-11",67,"2023-12",6,13.55,15.75,5.15,2228.32216047158,42.6356589147287,-71.7371395026724,129,0,0,0,0,195.017742872238
25,"2018-05","2023-12",68,"2024-01",6,13.55,15.75,5.15,2228.32216047158,42.6356589147287,-71.7371395026724,129,-6.52486286679708,0,-14.9821884596735,1,291.244027853012
26,"2018-05","2024-01",69,"2024-02",6,13.5,5.3,4.7,1275.32854749468,60.8695652173913,-38.8723856183445,161,0,0,0,0,281.478183984756
27,"2018-05","2024-02",70,"2024-03",10,14.45,5.35,4.85,1395.51777339822,62.962962962963,-38.8723856183445,162,6.44924043994535,100,-2.63870094722597,1,270.554348945618
28,"2018-05","2024-03",71,"2024-04",6,13.55,14.6,4.3,2256.92178369191,39.7163120567376,-61.4979234502981,141,6.75649589046656,50,-12.3017486783245,2,233.754553079605
29,"2018-05","2024-04",72,"2024-05",9,13.8,8.35,4.85,1935.15113991543,52.6627218934911,-38.8723856183445,169,0,0,0,0,196.454937934875
30,"2018-05","2024-05",73,"2024-06",9,13.8,8.35,4.85,1935.15113991543,52.6627218934911,-38.8723856183445,169,-5.03557341360856,0,-10.0096283783784,1,264.51439499855
31,"2018-05","2024-06",74,"2024-07",6,13.55,14.6,4.3,2295.61019558767,39.5833333333333,-61.4979234502981,144,14.5294674297542,100,-8.55043420173681,1,288.374840021133
32,"2018-05","2024-07",75,"2024-08",6,13.55,14.6,4.3,2643.67959869945,40,-61.4979234502981,145,-9.393178099988,0,-9.91347663963607,2,283.805494070053
33,"2018-05","2024-08",76,"2024-09",8,13.05,5.3,4.75,1716.17726845066,60.2040816326531,-40.0505737371302,196,0,0,0,0,195.943898916245
34,"2018-05","2024-09",77,"2024-10",6,13.55,14.6,4.3,2385.96088750057,39.4557823129252,-61.4979234502981,147,0,0,0,0,293.823431968689
35,"2018-05","2024-10",78,"2024-11",6,13.55,14.6,4.3,2385.96088750057,39.4557823129252,-61.4979234502981,147,10.1107138195441,50,-10.7140830683064,2,294.541184902191
36,"2018-05","2024-11",79,"2024-12",9,13.35,5.05,4.95,1992.4915471004,61.9047619047619,-45.4684398934032,210,10.9811499180709,62.5,-24.0737942300573,8,268.19589805603
37,"2018-05","2024-12",80,"2025-01",6,13.05,8.2,4.75,3660.28228110215,53.9325842696629,-38.8723856183445,178,0,0,0,0,284.594506978989
38,"2018-05","2025-01",81,"2025-02",6,12.75,7.8,6.3,2393.0523276966,58.1920903954802,-49.6750598725102,177,-1.39560965866158,50,-14.8128199697425,2,239.912322044373
39,"2018-05","2025-02",82,"2025-03",6,13.15,5.15,4.25,2771.17164620021,61.8556701030928,-38.8723856183445,194,7.91804426704855,66.6666666666667,-11.6461260791631,3,288.578602075577
40,"2018-05","2025-03",83,"2025-04",10,13.8,8.7,4.45,2694.6725541496,50.5050505050505,-41.9685182644826,198,12.9075569585448,100,-0.964936886395517,1,302.190793991089
41,"2018-05","2025-04",84,"2025-05",6,13.15,5.15,4.25,3201.39536289412,62.1212121212121,-38.8723856183445,198,0,0,0,0,267.716046094894
42,"2018-05","2025-05",85,"2025-06",8,13.3,6.2,4.5,2431.35667116195,57.6190476190476,-43.0008829546667,210,0,0,0,0,251.570160865784
43,"2018-05","2025-06",86,"2025-07",8,13.3,6.2,4.5,2431.35667116195,57.6190476190476,-43.0008829546667,210,0,0,0,0,254.563817024231
44,"2018-05","2025-07",87,"2025-08",8,13.05,5.3,4.75,2869.05618205539,61.1872146118721,-40.0505737371302,219,0,0,0,0,304.733456134796
45,"2018-05","2025-08",88,"2025-09",8,13.05,5.3,4.75,2869.05618205539,61.1872146118721,-40.0505737371302,219,0,0,0,0,195.426460027695
46,"2018-05","2025-09",89,"2025-10",8,13.05,5.3,4.75,2869.05618205539,61.1872146118721,-40.0505737371302,219,-1.82043609324825,50,-8.06525795002677,2,245.835205793381
