"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2018-05","2021-12",44,"2022-01",5,6.4,12.55,19.15,2318.52498424577,72.1311475409836,-59.4420152085896,122,-10.0119064824251,50,-29.7203546133329,2,1133.41256594658
2,"2018-05","2022-01",45,"2022-02",5,6.4,12.55,19.15,2076.38452456899,71.7741935483871,-59.4420152085896,124,0,0,0,0,1144.15968489647
3,"2018-05","2022-02",46,"2022-03",5,6.4,12.55,19.15,2076.38452456899,71.7741935483871,-59.4420152085896,124,2.97819084429824,100,-1.23708863800144,1,1086.89150309563
4,"2018-05","2022-03",47,"2022-04",5,6.4,12.55,19.15,2141.20140921643,72,-59.4420152085896,125,0,0,0,0,1257.19039106369
5,"2018-05","2022-04",48,"2022-05",5,6.5,6.1,10.6,1452.07275002169,73.3990147783251,-53.2223054418512,203,39.5184761117661,87.5,-12.9637958846785,8,1129.1474211216
6,"2018-05","2022-05",49,"2022-06",5,6.4,12.55,19.15,2417.27791286137,71.7557251908397,-59.4420152085896,131,0,0,0,0,1245.36539411545
7,"2018-05","2022-06",50,"2022-07",5,6.4,12.55,19.15,2417.27791286137,71.7557251908397,-59.4420152085896,131,0,0,0,0,1080.57488799095
8,"2018-05","2022-07",51,"2022-08",5,6.4,12.55,19.15,2417.27791286137,71.7557251908397,-59.4420152085896,131,-1.83264105665063,0,-13.7837837837838,1,1294.98527002335
9,"2018-05","2022-08",52,"2022-09",5,6.15,10.1,12.8,2197.5626981742,66.120218579235,-60.5309480568697,183,10.0476164802965,100,-10.1186322400558,1,1042.66503500938
10,"2018-05","2022-09",53,"2022-10",5,6.35,10.8,18.65,4621.25176883875,75,-53.4990479137235,148,22.6874910522824,100,-5.74274210637848,2,887.585845947266
11,"2018-05","2022-10",54,"2022-11",4,6.2,10.95,17.45,2530.29262220889,72.4137931034483,-52.3250927202747,145,-17.7145333186951,0,-20.7358212560386,1,758.070708036423
12,"2018-05","2022-11",55,"2022-12",5,6.15,10.1,12.8,2750.95912197898,66.4893617021277,-60.5309480568697,188,0,0,0,0,687.461715936661
