"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2019-03","2019-12",10,"2020-01",10,5.3,1,0,-2.97400680852084,39.8395721925134,-27.6043742484253,374,56.2540344535727,45.5555555555556,-17.207563927819,90,38.4135940074921
2,"2019-03","2020-01",11,"2020-02",8,5.1,0,0.5,11.3209344283438,62.3059866962306,-29.0637066012676,451,-12.3215502318034,52.4590163934426,-16.9843238406918,61,39.7568361759186
3,"2019-03","2020-02",12,"2020-03",9,4.8,0,3.5,40.6019768674405,84.4863731656184,-34.2671509129862,477,-3.52042844396754,77,-52.6411240636218,100,44.4484140872955
4,"2019-03","2020-03",13,"2020-04",9,6,0.75,0.1,-8.81909124178652,44.1048034934498,-37.1439719204657,458,-25.2616829608445,29.4117647058824,-100,34,47.1841070652008
5,"2019-03","2020-04",14,"2020-05",4,4.95,1.8,0.2,-16.3139322296841,35.4679802955665,-33.0564267906952,406,6.63358708756319,46.6666666666667,-4.8824081363388,15,48.9900648593903
6,"2019-03","2020-05",15,"2020-06",2,3.4,0,6.8,-3.30256491971768,88.517745302714,-45.6219201777918,479,14.6504238689895,100,-2.8502098764917,21,43.5091710090637
7,"2019-03","2020-06",16,"2020-07",7,5.35,0,2.55,-33.0006540418201,76.271186440678,-49.67890679011,472,0.0952137380849672,77.7777777777778,-4.13538499380905,9,54.0989339351654
8,"2019-03","2020-07",17,"2020-08",9,6,0.75,0.1,-30.5205824055882,43.389199255121,-42.7521055509036,537,-14.9116383559049,43.1372549019608,-19.7771208906823,51,59.9702529907227
9,"2019-03","2020-08",18,"2020-09",3,4.15,0.45,7.95,43.7780934834384,88.1188118811881,-51.0210335718839,404,-11.854566223831,86.6666666666667,-30.3189049274054,30,57.2118360996246
10,"2019-03","2020-09",19,"2020-10",3,4.7,0,1,-11.2653859431847,67.3507462686567,-45.6676227985053,536,-7.49477280469002,63.1578947368421,-11.3055770426587,19,68.1305160522461
11,"2019-03","2020-10",20,"2020-11",3,4.15,0.45,7.95,34.2535652101692,88.2222222222222,-51.0210335718839,450,12.674948281365,88.5714285714286,-32.9399713278281,35,69.7658867835999
12,"2019-03","2020-11",21,"2020-12",3,4.15,0.45,7.95,51.2701351664469,88.2474226804124,-51.0210335718839,485,-9.36784855938408,80.7692307692308,-12.2185049089533,26,65.740002155304
13,"2019-03","2020-12",22,"2021-01",10,7.15,0,6.85,11.8567912683316,88.268156424581,-43.6683045795235,358,24.7894196735401,85.7142857142857,-24.0626778839745,70,75.5426740646362
14,"2019-03","2021-01",23,"2021-02",10,6.95,0.45,8.15,13.2620481135591,87.5338753387534,-46.7860315022989,369,-16.693291755788,82.5,-36.7208693399615,40,81.0275988578796
15,"2019-03","2021-02",24,"2021-03",10,7.05,0,11.5,12.659797657713,92.7318295739348,-52.3172567778242,399,4.04110841426445,100,-8.58896262188517,15,73.103040933609
16,"2019-03","2021-03",25,"2021-04",1,3.75,0,17.6,4.86291887095686,93.8679245283019,-53.1368754083072,424,3.0012665657007,96,-28.3816740815177,50,78.9512939453125
17,"2019-03","2021-04",26,"2021-05",1,3.4,4.45,14.55,1130.73197947949,80.2521008403361,-67.1165212524499,238,-60.9846305561121,71.4285714285714,-81.1905852930089,35,93.4029140472412
18,"2019-03","2021-05",27,"2021-06",8,7.2,0,6.3,72.4578504131657,87.1134020618557,-49.2678414076505,582,-22.8158182320863,72.7272727272727,-31.733577363323,33,90.9731020927429
19,"2019-03","2021-06",28,"2021-07",9,11,0.45,0.05,67.9821166948312,53.9877300613497,-35.8001634196276,326,-1.83224171407292,33.3333333333333,-2.9824316849209,3,117.93625998497
20,"2019-03","2021-07",29,"2021-08",9,10.45,0.25,0.25,60.1275748577039,55.2083333333333,-38.807021946716,384,-0.959838891808558,33.3333333333333,-3.11869910744364,3,106.320090055466
21,"2019-03","2021-08",30,"2021-09",9,10.25,0,0.45,16.8994294240328,59.3137254901961,-40.4982847908334,408,-8.26001918127167,38.4615384615385,-11.4010513660521,13,126.962078809738
22,"2019-03","2021-09",31,"2021-10",9,10.45,0.25,0.25,49.4117128521093,54.6365914786967,-38.807021946716,399,-3.53285803419927,0,-3.53285803419927,2,122.232228040695
23,"2019-03","2021-10",32,"2021-11",9,7.1,0,6.5,75.1015204657767,87.2950819672131,-49.2678414076505,732,-16.2149780700267,83.7209302325581,-21.5165927091329,43,141.32008099556
24,"2019-03","2021-11",33,"2021-12",7,7.15,0,6.85,46.0731595779261,87.175572519084,-43.6683045795235,655,-11.3700683392789,84.6153846153846,-22.0449150302255,26,117.509965896606
25,"2019-03","2021-12",34,"2022-01",1,3.45,2.1,20,593.526197648091,89.9103139013453,-76.9695599595719,446,-33.8161142397531,50,-43.6334546146196,6,150.253381967545
26,"2019-03","2022-01",35,"2022-02",10,11.5,0.15,0.3,72.9655043526491,57.742782152231,-40.6990792933238,381,-0.635679350847986,60,-3.86507841544097,10,117.692143917084
27,"2019-03","2022-02",36,"2022-03",10,11.3,0.4,0,96.3744797385196,53.5452322738386,-40.1060573844545,409,-1.51447159773994,0,-1.51447159773994,2,138.692981958389
28,"2019-03","2022-03",37,"2022-04",10,11.45,0,0.6,53.0052958927198,60.2040816326531,-45.1752375735731,392,0.357601433240015,60,-2.1940780429996,5,119.301982879639
29,"2019-03","2022-04",38,"2022-05",10,11.05,0.1,0,76.8330510763013,55.3376906318083,-40.2929393886819,459,4.70945072975506,52.6315789473684,-22.2543140341448,38,159.384829044342
